band,channel,value,p_kw
delta,Fp1-T3,rel,0.022766475063434984
delta,Fp1-T3,abs,0.6708829297278271
delta,Fp2-T4,rel,0.013938357149147639
delta,Fp2-T4,abs,0.052252503042830314
delta,Fp1-C3,rel,0.02069821487989009
delta,Fp1-C3,abs,0.47994988270126204
delta,T3-O1,rel,0.1151352730151192
delta,T3-O1,abs,0.0008640694842897364
delta,Fp2-C4,rel,0.014251022155380733
delta,Fp2-C4,abs,0.6182043260220034
delta,Fp2-A1,rel,0.5798206582484808
delta,Fp2-A1,abs,0.07462478040774632
delta,Fp1-A1,rel,0.37110916153826135
delta,Fp1-A1,abs,0.02899488186610418
delta,T4-O2,rel,0.0367291323162728
delta,T4-O2,abs,0.006375255719843013
delta,T3-A1,rel,0.29122449773545883
delta,T3-A1,abs,0.004940731393953628
delta,C3-A1,rel,0.05583945368808373
delta,C3-A1,abs,0.0025382046893225275
delta,T4-A1,rel,0.5661433287790372
delta,T4-A1,abs,0.008801401674309511
delta,C4-A1,rel,0.20336560962100123
delta,C4-A1,abs,0.0006434667220813519
theta,T3-O1,rel,0.5580196323568691
theta,T3-O1,abs,0.14970051540800716
theta,Fp1-C3,rel,0.033122344661114474
theta,Fp1-C3,abs,0.04534801146535344
theta,Fp1-T3,rel,0.16472680888111518
theta,Fp1-T3,abs,0.08202536016429651
theta,Fp2-T4,rel,0.2269038475356595
theta,Fp2-T4,abs,0.06270620174085396
theta,Fp2-C4,rel,0.0065643393598832445
theta,Fp2-C4,abs,0.3190079128375039
theta,Fp1-A1,rel,0.06798382005233027
theta,Fp1-A1,abs,0.1673215434106894
theta,T4-O2,rel,0.571747869112031
theta,T4-O2,abs,0.055764401421621736
theta,Fp2-A1,rel,0.10982512751967415
theta,Fp2-A1,abs,0.11531788821833605
theta,T4-A1,rel,0.15762768417312337
theta,T4-A1,abs,0.17413055974931554
theta,T3-A1,rel,0.0630535878254576
theta,T3-A1,abs,0.0801292733661752
theta,C3-A1,rel,0.0258828775728199
theta,C3-A1,abs,0.30312796943253345
theta,C4-A1,rel,0.08861684931226686
theta,C4-A1,abs,0.06710436134192269
alpha,Fp1-C3,rel,0.011822006352268469
alpha,Fp1-C3,abs,0.48206589502848995
alpha,Fp1-T3,rel,0.0009098037501845664
alpha,Fp1-T3,abs,0.10006003160156401
alpha,T3-O1,rel,0.28700660067516076
alpha,T3-O1,abs,0.019117944351969077
alpha,Fp2-T4,rel,0.006942968869286992
alpha,Fp2-T4,abs,0.21155952083054114
alpha,Fp1-A1,rel,0.07105759709080718
alpha,Fp1-A1,abs,0.21701304650497616
alpha,Fp2-C4,rel,0.009658186708334968
alpha,Fp2-C4,abs,0.2281647735831154
alpha,T4-O2,rel,0.22131013527540305
alpha,T4-O2,abs,0.016072700070945977
alpha,Fp2-A1,rel,0.13349360270987384
alpha,Fp2-A1,abs,0.016113931385326328
alpha,C3-A1,rel,0.0711354569182772
alpha,C3-A1,abs,0.2385377023086865
alpha,T3-A1,rel,0.05883808046759163
alpha,T3-A1,abs,0.012075137334288336
alpha,T4-A1,rel,0.038984438749849894
alpha,T4-A1,abs,0.019136333325071243
alpha,C4-A1,rel,0.14475465219275274
alpha,C4-A1,abs,0.02270969192521968
beta,T3-O1,rel,0.017892209026286045
beta,T3-O1,abs,0.088956435086854
beta,Fp1-T3,rel,0.02760610130224705
beta,Fp1-T3,abs,0.39354315222194347
beta,Fp1-C3,rel,0.000746217927768364
beta,Fp1-C3,abs,0.05854344579946245
beta,Fp2-T4,rel,0.0004704636385823904
beta,Fp2-T4,abs,0.6229000468155552
beta,Fp2-C4,rel,0.0012992974933822097
beta,Fp2-C4,abs,0.2571030016547146
beta,T4-O2,rel,0.05746113866694471
beta,T4-O2,abs,0.003083887249496838
beta,Fp1-A1,rel,0.42731558124903724
beta,Fp1-A1,abs,0.2727782188821623
beta,Fp2-A1,rel,0.44980688918278244
beta,Fp2-A1,abs,0.09601282577112326
beta,C3-A1,rel,0.09163694786809867
beta,C3-A1,abs,0.16933762085018922
beta,T3-A1,rel,0.6122211511289934
beta,T3-A1,abs,0.01858207108036486
