band,channel,value,group,mean,sd,n
delta,Fp1-T3,rel,EAI,0.6029604683314774,0.05039008508514726,7
delta,Fp1-T3,rel,Narco,0.6734754238270424,0.08319303064752383,11
delta,Fp1-T3,rel,SYN,0.5764629517558509,0.12080894132905787,19
delta,Fp1-T3,rel,TCSPi,0.5818657209653271,0.060358082800068005,39
delta,Fp1-T3,abs,EAI,6.141736095559659e-10,4.498244963019773e-10,7
delta,Fp1-T3,abs,Narco,1.6377007197141048e-09,2.792582442393825e-09,11
delta,Fp1-T3,abs,SYN,1.2101183027946357e-08,3.027620366779656e-08,19
delta,Fp1-T3,abs,TCSPi,6.9120792455166874e-09,3.2328634570419674e-08,39
delta,Fp2-T4,rel,EAI,0.609009522511004,0.047562682633649385,7
delta,Fp2-T4,rel,Narco,0.6857919811830459,0.0748798222248171,11
delta,Fp2-T4,rel,SYN,0.5780852323649073,0.12575107274093777,19
delta,Fp2-T4,rel,TCSPi,0.5915313866451013,0.07601394704105649,39
delta,Fp2-T4,abs,EAI,1.1252890925574684e-09,1.6975578712863528e-09,7
delta,Fp2-T4,abs,Narco,2.033770558176711e-09,1.6666730467350639e-09,11
delta,Fp2-T4,abs,SYN,2.0915778478696936e-09,3.6116361603697187e-09,19
delta,Fp2-T4,abs,TCSPi,2.504452250480672e-09,5.442157459734204e-09,39
delta,Fp1-C3,rel,EAI,0.6034145710128256,0.053604923788170375,7
delta,Fp1-C3,rel,Narco,0.684739469062708,0.07749751125476488,11
delta,Fp1-C3,rel,SYN,0.6040268538296684,0.11913881963080288,19
delta,Fp1-C3,rel,TCSPi,0.5915465291269828,0.06435522976799511,39
delta,Fp1-C3,abs,EAI,1.0277432292922975e-09,1.1326411591183753e-09,7
delta,Fp1-C3,abs,Narco,1.361599246820696e-09,1.8350995077060583e-09,11
delta,Fp1-C3,abs,SYN,7.01203414551171e-09,2.176501730664607e-08,19
delta,Fp1-C3,abs,TCSPi,1.4220477978635087e-09,2.08285187307711e-09,39
delta,T3-O1,rel,EAI,0.5549008457621091,0.048100808282019424,7
delta,T3-O1,rel,Narco,0.6412605048041651,0.10955837953536857,11
delta,T3-O1,rel,SYN,0.5683489637518533,0.11481563674612603,19
delta,T3-O1,rel,TCSPi,0.5702644065792084,0.0637633965264684,39
delta,T3-O1,abs,EAI,5.20584932462288e-10,6.612310388993739e-10,7
delta,T3-O1,abs,Narco,6.526820125667149e-09,6.801581492982184e-09,11
delta,T3-O1,abs,SYN,6.219531143607817e-09,2.0825956453274435e-08,19
delta,T3-O1,abs,TCSPi,7.1503324229464365e-09,3.248548878178727e-08,39
delta,Fp2-C4,rel,EAI,0.5829222908530719,0.07834220139364012,7
delta,Fp2-C4,rel,Narco,0.693279749437349,0.07171444732190671,11
delta,Fp2-C4,rel,SYN,0.6098085951354066,0.12678550796412955,19
delta,Fp2-C4,rel,TCSPi,0.6006463722937297,0.06267397719978046,39
delta,Fp2-C4,abs,EAI,1.5834633632598008e-09,1.860600554069347e-09,7
delta,Fp2-C4,abs,Narco,3.2051415411539e-09,6.325072489169887e-09,11
delta,Fp2-C4,abs,SYN,1.7357523998343578e-09,2.7024593311555237e-09,19
delta,Fp2-C4,abs,TCSPi,1.966440170759047e-09,4.814292594792056e-09,39
delta,Fp2-A1,rel,EAI,0.580439552979705,0.06774500297374708,7
delta,Fp2-A1,rel,Narco,0.6546876355912038,0.11173435560226205,11
delta,Fp2-A1,rel,SYN,0.608805299354974,0.11101033781671016,19
delta,Fp2-A1,rel,TCSPi,0.6001608882709178,0.05981931047404782,39
delta,Fp2-A1,abs,EAI,3.3518296128898648e-09,3.5271996126731786e-09,7
delta,Fp2-A1,abs,Narco,3.852562183711315e-08,1.085185432784904e-07,11
delta,Fp2-A1,abs,SYN,8.471696430837069e-08,3.55235367939135e-07,19
delta,Fp2-A1,abs,TCSPi,3.054788313217715e-09,5.436238392662851e-09,39
delta,Fp1-A1,rel,EAI,0.5939798539329558,0.06830012740850934,7
delta,Fp1-A1,rel,Narco,0.6563781288159075,0.10790859198500011,11
delta,Fp1-A1,rel,SYN,0.6027840565186748,0.11312361681448603,19
delta,Fp1-A1,rel,TCSPi,0.5953790890138255,0.058509497675402845,39
delta,Fp1-A1,abs,EAI,2.8282004543773335e-09,3.408333065175876e-09,7
delta,Fp1-A1,abs,Narco,3.8641029301585936e-08,1.0826743598783727e-07,11
delta,Fp1-A1,abs,SYN,9.082116758200202e-08,3.5407418564614223e-07,19
delta,Fp1-A1,abs,TCSPi,2.342140280462743e-09,2.8899666926055946e-09,39
delta,T4-O2,rel,EAI,0.5357700422554323,0.07947221194013941,7
delta,T4-O2,rel,Narco,0.6233423608521104,0.12617412563247773,11
delta,T4-O2,rel,SYN,0.5572076015679827,0.10810343234584223,19
delta,T4-O2,rel,TCSPi,0.5729943808737094,0.07095956085469916,39
delta,T4-O2,abs,EAI,9.812025818512517e-10,1.00225682469554e-09,7
delta,T4-O2,abs,Narco,3.827580797040635e-08,9.032113287705155e-08,11
delta,T4-O2,abs,SYN,1.4381262195412326e-09,1.9305609920522335e-09,19
delta,T4-O2,abs,TCSPi,1.89458856479127e-09,3.1190728606936617e-09,39
delta,T3-A1,rel,EAI,0.5500401912217678,0.08535275632729633,7
delta,T3-A1,rel,Narco,0.6079011228391235,0.1174149903614912,11
delta,T3-A1,rel,SYN,0.5322822377093855,0.1342863028855699,19
