band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
delta,Fp1-T3,rel,EAI,Narco,7,11,19.0,0.08534439416792358,0.5064935064935066,0.3413775766716943,
delta,Fp1-T3,rel,EAI,SYN,7,19,74.0,0.6924992398905441,-0.11278195488721798,1.0,
delta,Fp1-T3,rel,EAI,TCSPi,7,39,170.0,0.32027659016364046,-0.24542124542124544,0.9608297704909214,
delta,Fp1-T3,rel,Narco,SYN,11,19,154.0,0.03496297229770904,-0.4736842105263157,0.1748148614885452,
delta,Fp1-T3,rel,Narco,TCSPi,11,39,348.0,0.0018407699287000129,-0.6223776223776223,0.011044619572200078,*
delta,Fp1-T3,rel,SYN,TCSPi,19,39,355.0,0.8037385487698324,0.04183535762483126,1.0,
delta,Fp1-T3,abs,EAI,Narco,7,9,28.0,0.7576923076923078,0.11111111111111116,1.0,
delta,Fp1-T3,abs,EAI,SYN,7,17,44.0,0.34926496082102493,0.26050420168067223,1.0,
delta,Fp1-T3,abs,EAI,TCSPi,7,36,110.0,0.6174844714116888,0.12698412698412698,1.0,
delta,Fp1-T3,abs,Narco,SYN,9,17,58.0,0.33197546708273695,0.24183006535947715,1.0,
delta,Fp1-T3,abs,Narco,TCSPi,9,36,154.0,0.831471939952311,0.04938271604938271,1.0,
delta,Fp1-T3,abs,SYN,TCSPi,17,36,352.0,0.38593070911944727,-0.15032679738562083,1.0,
delta,Fp1-C3,rel,EAI,Narco,7,11,15.0,0.03456510809451986,0.6103896103896104,0.1728255404725993,
delta,Fp1-C3,rel,EAI,SYN,7,19,66.0,0.9999999999999998,0.007518796992481258,1.0,
delta,Fp1-C3,rel,EAI,TCSPi,7,39,157.0,0.5487825429315971,-0.1501831501831501,1.0,
delta,Fp1-C3,rel,Narco,SYN,11,19,150.0,0.052789228899782506,-0.43540669856459324,0.21115691559913002,
delta,Fp1-C3,rel,Narco,TCSPi,11,39,353.0,0.0012297629227992284,-0.6456876456876457,0.007378577536795371,**
delta,Fp1-C3,rel,SYN,TCSPi,19,39,389.0,0.7655398423056133,-0.04993252361673406,1.0,
delta,Fp1-C3,abs,EAI,Narco,6,10,25.0,0.6353646353646354,0.16666666666666663,1.0,
delta,Fp1-C3,abs,EAI,SYN,6,17,40.0,0.4727233102519144,0.21568627450980393,1.0,
delta,Fp1-C3,abs,EAI,TCSPi,6,33,105.0,0.8347492186501476,-0.06060606060606055,1.0,
delta,Fp1-C3,abs,Narco,SYN,10,17,81.0,0.8605031146501084,0.04705882352941182,1.0,
delta,Fp1-C3,abs,Narco,TCSPi,10,33,204.0,0.2683816272927607,-0.23636363636363633,1.0,
delta,Fp1-C3,abs,SYN,TCSPi,17,33,345.0,0.1899583441818571,-0.22994652406417115,1.0,
delta,T3-O1,rel,EAI,Narco,7,11,20.0,0.10419808949220714,0.48051948051948057,0.4167923579688286,
delta,T3-O1,rel,EAI,SYN,7,18,67.0,0.8361680882047013,-0.06349206349206349,1.0,
delta,T3-O1,rel,EAI,TCSPi,7,39,121.0,0.6533101365575655,0.1135531135531136,1.0,
delta,T3-O1,rel,Narco,SYN,11,18,143.0,0.050561875401775085,-0.4444444444444444,0.2528093770088754,
delta,T3-O1,rel,Narco,TCSPi,11,39,308.0,0.02940530420685481,-0.4358974358974359,0.17643182524112888,
delta,T3-O1,rel,SYN,TCSPi,18,39,310.0,0.4868764786529677,0.11680911680911676,1.0,
delta,T3-O1,abs,EAI,Narco,6,11,5.0,0.003070458952811894,0.8484848484848485,0.01535229476405947,*
delta,T3-O1,abs,EAI,SYN,6,17,24.0,0.06234954976373741,0.5294117647058824,0.18704864929121223,
delta,T3-O1,abs,EAI,TCSPi,6,32,73.0,0.3771873678994422,0.23958333333333337,0.3771873678994422,
delta,T3-O1,abs,Narco,SYN,11,17,148.0,0.011079526695110073,-0.5828877005347595,0.04431810678044029,*
delta,T3-O1,abs,Narco,TCSPi,11,32,301.0,0.0005293030488614618,-0.7102272727272727,0.003175818293168771,**
delta,T3-O1,abs,SYN,TCSPi,17,32,351.0,0.09918250827066509,-0.2904411764705883,0.19836501654133018,
delta,Fp2-T4,rel,EAI,Narco,7,11,15.0,0.03456510809451986,0.6103896103896104,0.13826043237807945,
delta,Fp2-T4,rel,EAI,SYN,7,19,78.0,0.5335603526907874,-0.1729323308270676,1.0,
delta,Fp2-T4,rel,EAI,TCSPi,7,39,158.0,0.528867468240819,-0.15750915750915762,1.0,
delta,Fp2-T4,rel,Narco,SYN,11,19,161.0,0.015950672304071024,-0.5406698564593302,0.07975336152035511,
delta,Fp2-T4,rel,Narco,TCSPi,11,39,351.0,0.001447306767518861,-0.6363636363636365,0.008683840605113166,**
delta,Fp2-T4,rel,SYN,TCSPi,19,39,346.0,0.6909113052246969,0.06612685560053977,1.0,
delta,Fp2-T4,abs,EAI,Narco,6,11,10.0,0.020200387847446672,0.696969696969697,0.12120232708468004,
delta,Fp2-T4,abs,EAI,SYN,6,16,37.0,0.4494123008054896,0.22916666666666663,0.8452818140046641,
delta,Fp2-T4,abs,EAI,TCSPi,6,35,70.0,0.20895127377797473,0.33333333333333337,0.6268538213339242,
delta,Fp2-T4,abs,Narco,SYN,11,16,134.0,0.024751436094503518,-0.5227272727272727,0.12375718047251759,
delta,Fp2-T4,abs,Narco,TCSPi,11,35,267.0,0.056695681784369324,-0.38701298701298703,0.2267827271374773,
delta,Fp2-T4,abs,SYN,TCSPi,16,35,240.0,0.42264090700233203,0.1428571428571429,0.8452818140046641,
delta,Fp2-C4,rel,EAI,Narco,7,11,11.0,0.01137506284565108,0.7142857142857143,0.056875314228255404,
delta,Fp2-C4,rel,EAI,SYN,7,19,57.0,0.6108452417148068,0.1428571428571429,1.0,
delta,Fp2-C4,rel,EAI,TCSPi,7,39,124.0,0.7194890282389358,0.09157509157509158,1.0,
delta,Fp2-C4,rel,Narco,SYN,11,19,150.0,0.052789228899782506,-0.43540669856459324,0.21115691559913002,
delta,Fp2-C4,rel,Narco,TCSPi,11,39,354.0,0.001132706393152006,-0.6503496503496504,0.006796238358912036,**
delta,Fp2-C4,rel,SYN,TCSPi,19,39,409.0,0.5289806197564357,-0.10391363022941968,1.0,
delta,Fp2-C4,abs,EAI,Narco,7,9,35.0,0.7576923076923078,-0.11111111111111116,1.0,
delta,Fp2-C4,abs,EAI,SYN,7,16,71.0,0.3411201801294681,-0.2678571428571428,1.0,
delta,Fp2-C4,abs,EAI,TCSPi,7,35,143.0,0.5079670615614132,-0.1673469387755102,1.0,
delta,Fp2-C4,abs,Narco,SYN,9,16,92.0,0.269606104568209,-0.2777777777777777,1.0,
delta,Fp2-C4,abs,Narco,TCSPi,9,35,186.0,0.4152554336796187,-0.18095238095238098,1.0,
delta,Fp2-C4,abs,SYN,TCSPi,16,35,256.0,0.6333273782886601,0.08571428571428574,1.0,
delta,T4-O2,rel,EAI,Narco,7,11,23.0,0.17911010558069382,0.4025974025974026,0.6124917771845343,
delta,T4-O2,rel,EAI,SYN,7,17,65.0,0.756524050574394,-0.09243697478991586,0.756524050574394,
delta,T4-O2,rel,EAI,TCSPi,7,39,99.0,0.26420795042585965,0.27472527472527475,0.6124917771845343,
delta,T4-O2,rel,Narco,SYN,11,17,143.0,0.02116777101598483,-0.5294117647058822,0.127006626095909,
delta,T4-O2,rel,Narco,TCSPi,11,39,276.0,0.15312294429613357,-0.28671328671328666,0.6124917771845343,
delta,T4-O2,rel,SYN,TCSPi,17,39,207.0,0.027131360917355532,0.3755656108597285,0.13565680458677765,
delta,T4-O2,abs,EAI,Narco,6,10,13.0,0.07267732267732269,0.5666666666666667,0.29070929070929075,
delta,T4-O2,abs,EAI,SYN,6,15,49.0,0.7909848149786229,-0.0888888888888888,0.8782435100853838,
delta,T4-O2,abs,EAI,TCSPi,6,34,124.0,0.425173119909962,-0.21568627450980382,0.8782435100853838,
delta,T4-O2,abs,Narco,SYN,10,15,124.0,0.007138867747109106,-0.6533333333333333,0.035694338735545526,*
delta,T4-O2,abs,Narco,TCSPi,10,34,287.0,0.0011037473271126262,-0.6882352941176471,0.006622483962675757,**
delta,T4-O2,abs,SYN,TCSPi,15,34,304.0,0.29274783669512794,-0.19215686274509802,0.8782435100853838,
delta,Fp2-A1,rel,EAI,Narco,7,11,23.0,0.17911010558069382,0.4025974025974026,1.0,
delta,Fp2-A1,rel,EAI,SYN,7,19,58.0,0.6511766494375189,0.1278195488721805,1.0,
delta,Fp2-A1,rel,EAI,TCSPi,7,37,110.0,0.5501016060095977,0.1505791505791506,1.0,
delta,Fp2-A1,rel,Narco,SYN,11,19,125.0,0.38938710625617945,-0.19617224880382778,1.0,
delta,Fp2-A1,rel,Narco,TCSPi,11,37,249.0,0.26966060402516134,-0.2235872235872236,1.0,
delta,Fp2-A1,rel,SYN,TCSPi,19,37,361.0,0.8762329143858715,-0.027027027027026973,1.0,
delta,Fp2-A1,abs,EAI,Narco,6,9,16.0,0.22377622377622375,0.40740740740740744,0.895104895104895,
delta,Fp2-A1,abs,EAI,SYN,6,17,57.0,0.7077179113792387,-0.11764705882352944,0.9895285835114358,
delta,Fp2-A1,abs,EAI,TCSPi,6,35,134.0,0.30145040863911216,-0.2761904761904761,0.9043512259173365,
delta,Fp2-A1,abs,Narco,SYN,9,17,109.0,0.08458195169190756,-0.4248366013071896,0.4229097584595378,
delta,Fp2-A1,abs,Narco,TCSPi,9,35,244.0,0.01234130897665623,-0.5492063492063493,0.07404785385993738,
delta,Fp2-A1,abs,SYN,TCSPi,17,35,333.0,0.4947642917557179,-0.119327731092437,0.9895285835114358,
delta,Fp1-A1,rel,EAI,Narco,7,11,25.0,0.24629210658622425,0.35064935064935066,0.985168426344897,
delta,Fp1-A1,rel,EAI,SYN,7,18,69.0,0.7450884127314332,-0.09523809523809534,1.0,
delta,Fp1-A1,rel,EAI,TCSPi,7,37,114.0,0.6374073056537157,0.11969111969111967,1.0,
delta,Fp1-A1,rel,Narco,SYN,11,18,133.0,0.1321408585583338,-0.3434343434343434,0.7335229447972664,
delta,Fp1-A1,rel,Narco,TCSPi,11,37,267.0,0.12225382413287775,-0.3120393120393121,0.7335229447972664,
delta,Fp1-A1,rel,SYN,TCSPi,18,37,314.0,0.7400086424921344,0.0570570570570571,1.0,
delta,Fp1-A1,abs,EAI,Narco,6,9,13.0,0.1134865134865135,0.5185185185185186,0.47380498203275806,
delta,Fp1-A1,abs,EAI,SYN,6,17,56.0,0.759170653907496,-0.0980392156862746,0.759170653907496,
delta,Fp1-A1,abs,EAI,TCSPi,6,36,141.0,0.2497780122940585,-0.3055555555555556,0.6152685268424574,
delta,Fp1-A1,abs,Narco,SYN,9,17,108.0,0.09476099640655161,-0.41176470588235303,0.47380498203275806,
delta,Fp1-A1,abs,Narco,TCSPi,9,36,260.0,0.005664703687297552,-0.6049382716049383,0.033988222123785314,*
delta,Fp1-A1,abs,SYN,TCSPi,17,36,373.0,0.2050895089474858,-0.21895424836601318,0.6152685268424574,
