channel,metric,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
Menton,rswa_fraction,EAI,Narco,7,11,46.0,0.5360105580693816,-0.19480519480519476,1.0,
Menton,rswa_fraction,EAI,SYN,7,19,50.0,0.3635056248099726,0.24812030075187974,1.0,
Menton,rswa_fraction,EAI,TCSPi,7,39,114.0,0.5093109197476753,0.1648351648351648,1.0,
Menton,rswa_fraction,Narco,SYN,11,19,54.0,0.03141126164691394,0.4832535885167464,0.18846756988148367,
Menton,rswa_fraction,Narco,TCSPi,11,39,134.0,0.06099152996973597,0.37529137529137524,0.30495764984867985,
Menton,rswa_fraction,SYN,TCSPi,19,39,395.0,0.6909113052246969,-0.06612685560053988,1.0,
Menton,phasic_ratio,EAI,Narco,7,10,31.0,0.7396133278486219,0.11428571428571432,1.0,
Menton,phasic_ratio,EAI,SYN,7,17,39.0,0.2094110440792363,0.3445378151260504,1.0,
Menton,phasic_ratio,EAI,TCSPi,7,38,135.0,0.9625323194826453,-0.015037593984962516,1.0,
Menton,phasic_ratio,Narco,SYN,10,17,71.0,0.49787935977642617,0.16470588235294115,1.0,
Menton,phasic_ratio,Narco,TCSPi,10,38,207.0,0.6752989770635933,-0.08947368421052637,1.0,
Menton,phasic_ratio,SYN,TCSPi,17,38,425.0,0.06450865608929243,-0.3157894736842106,0.3870519365357546,
Menton,tonic_ratio,EAI,Narco,7,10,38.0,0.8125257095845331,-0.08571428571428563,1.0,
Menton,tonic_ratio,EAI,SYN,7,18,31.0,0.055182026211774496,0.5079365079365079,0.22072810484709798,
Menton,tonic_ratio,EAI,TCSPi,7,37,118.0,0.7298112073912892,0.08880308880308885,1.0,
Menton,tonic_ratio,Narco,SYN,10,18,45.0,0.03287458013563356,0.5,0.19724748081380136,
Menton,tonic_ratio,Narco,TCSPi,10,37,150.0,0.36983376166335424,0.18918918918918914,1.0,
Menton,tonic_ratio,SYN,TCSPi,18,37,449.0,0.038286922784103124,-0.34834834834834827,0.19724748081380136,
Menton,tonic_eog_fraction,EAI,Narco,7,11,43.0,0.7165923601935835,-0.11688311688311681,1.0,
Menton,tonic_eog_fraction,EAI,SYN,7,19,61.5,0.7947268827321462,0.07518796992481203,1.0,
Menton,tonic_eog_fraction,EAI,TCSPi,7,39,113.5,0.49126480180965215,0.16849816849816845,1.0,
Menton,tonic_eog_fraction,Narco,SYN,11,19,84.0,0.3891760245045194,0.19617224880382778,1.0,
Menton,tonic_eog_fraction,Narco,TCSPi,11,39,148.0,0.12200143831857098,0.3100233100233101,0.7320086299114259,
Menton,tonic_eog_fraction,SYN,TCSPi,19,39,324.5,0.45088844989996757,0.12415654520917674,1.0,
JAMBD,rswa_fraction,EAI,Narco,7,11,47.0,0.4789467068878833,-0.22077922077922074,1.0,
JAMBD,rswa_fraction,EAI,SYN,7,19,68.0,0.9550015202189113,-0.022556390977443552,1.0,
JAMBD,rswa_fraction,EAI,TCSPi,7,39,130.0,0.8575906665859563,0.04761904761904767,1.0,
JAMBD,rswa_fraction,Narco,SYN,11,19,85.0,0.41353255788702625,0.1866028708133971,1.0,
JAMBD,rswa_fraction,Narco,TCSPi,11,39,167.0,0.27102086810788006,0.2214452214452215,1.0,
JAMBD,rswa_fraction,SYN,TCSPi,19,39,354.0,0.790948523392026,0.04453441295546556,1.0,
JAMBD,tonic_eog_fraction,EAI,Narco,7,11,44.0,0.6499936892825655,-0.1428571428571428,1.0,
JAMBD,tonic_eog_fraction,EAI,SYN,7,19,67.5,0.9769374805279613,-0.015037593984962516,1.0,
JAMBD,tonic_eog_fraction,EAI,TCSPi,7,39,115.5,0.5305829073135147,0.15384615384615385,1.0,
JAMBD,tonic_eog_fraction,Narco,SYN,11,19,89.0,0.5183865697802721,0.14832535885167464,1.0,
JAMBD,tonic_eog_fraction,Narco,TCSPi,11,39,147.0,0.11644817910305819,0.3146853146853147,0.6986890746183492,
JAMBD,tonic_eog_fraction,SYN,TCSPi,19,39,308.5,0.3081770665474358,0.16734143049932526,1.0,
JAMBD,phasic_ratio,EAI,Narco,7,11,23.0,0.17911010558069382,0.4025974025974026,0.7164404223227753,
JAMBD,phasic_ratio,EAI,SYN,7,17,68.0,0.6194091949240692,-0.1428571428571428,1.0,
JAMBD,phasic_ratio,EAI,TCSPi,7,35,145.0,0.4661821889036266,-0.18367346938775508,1.0,
JAMBD,phasic_ratio,Narco,SYN,11,17,144.0,0.018671821319051828,-0.5401069518716577,0.09335910659525914,
JAMBD,phasic_ratio,Narco,TCSPi,11,35,295.0,0.008621573550824296,-0.5324675324675325,0.05172944130494578,
JAMBD,phasic_ratio,SYN,TCSPi,17,35,315.0,0.7401748248338023,-0.05882352941176472,1.0,
JAMBD,tonic_ratio,EAI,Narco,7,10,24.0,0.31478815302344715,0.3142857142857143,0.9443644590703415,
JAMBD,tonic_ratio,EAI,SYN,7,15,64.0,0.44747396566282005,-0.21904761904761916,0.9443644590703415,
JAMBD,tonic_ratio,EAI,TCSPi,7,35,166.0,0.14961957612792015,-0.35510204081632657,0.5984783045116806,
JAMBD,tonic_ratio,Narco,SYN,10,15,107.0,0.08058433908583035,-0.42666666666666675,0.40292169542915174,
JAMBD,tonic_ratio,Narco,TCSPi,10,35,255.0,0.029974653085357267,-0.4571428571428571,0.1798479185121436,
JAMBD,tonic_ratio,SYN,TCSPi,15,35,262.0,1.0,0.0019047619047618536,1.0,
JAMBG,rswa_fraction,Narco,SYN,11,18,78.0,0.3568382475534896,0.21212121212121215,0.9921767336879507,
JAMBG,rswa_fraction,Narco,TCSPi,11,31,136.0,0.33072557789598356,0.20234604105571852,0.9921767336879507,
JAMBG,rswa_fraction,SYN,TCSPi,18,31,268.0,0.8276162242925947,0.03942652329749108,0.9921767336879507,
JAMBG,tonic_eog_fraction,Narco,SYN,11,18,89.0,0.6692309351016275,0.101010101010101,0.6692309351016275,
JAMBG,tonic_eog_fraction,Narco,TCSPi,11,31,109.0,0.08085229418978204,0.36070381231671556,0.24255688256934613,
JAMBG,tonic_eog_fraction,SYN,TCSPi,18,31,203.0,0.11735871725108026,0.2724014336917563,0.24255688256934613,
JAMBG,tonic_ratio,Narco,SYN,10,16,93.0,0.5100191684333342,-0.1625000000000001,0.5100191684333342,
JAMBG,tonic_ratio,Narco,TCSPi,10,27,218.0,0.0047808510011838464,-0.6148148148148149,0.014342553003551538,*
