feature,importance
age,0.02302323106171466
Gamma_wavelet_11_9,0.018304473432439256
Theta_wavelet_20_5,0.01071913281680416
Gamma_wavelet_11_7,0.010378138026061686
Alpha_psd_mean_18,0.008867723371153562
Theta_wavelet_12_5,0.008468725522717989
Theta_power_7,0.008401869859499408
Gamma_var_6,0.008133920670545622
Beta_wavelet_4_7,0.00803245179656442
Beta_psd_mean_12,0.007521271867834833
Theta_std_20,0.007131741940409693
Beta_power_4,0.007025917692081146
Theta_psd_mean_18,0.00663227229565302
Gamma_wavelet_4_6,0.00662756531158469
Theta_std_7,0.006548657790416049
Gamma_var_7,0.0063626356881439725
Delta_psd_mean_12,0.006326841574347904
Beta_std_4,0.0057251169636220855
Theta_psd_mean_20,0.005720361364052001
Beta_wavelet_4_6,0.00566248251958733
Gamma_psd_mean_4,0.0054557906742450455
Gamma_wavelet_7_9,0.005427924192304134
Gamma_std_6,0.005254077283043731
Theta_var_7,0.005245616203622052
Theta_wavelet_7_5,0.0051916656802150594
Gamma_std_12,0.0050305885593982655
Gamma_wavelet_6_9,0.005000600880145099
Alpha_var_20,0.004953211547901126
Alpha_power_12,0.004899584807974662
Beta_var_4,0.004885180713896772
Alpha_power_18,0.004840504692470878
Delta_std_12,0.004820942765936644
Alpha_psd_mean_4,0.004774898318330804
Theta_wavelet_20_6,0.00464477942400314
Gamma_power_4,0.00455555238576261
Gamma_wavelet_12_9,0.00453884620610863
Gamma_wavelet_20_7,0.004522732801731897
Alpha_wavelet_12_7,0.004390084026330528
Beta_wavelet_6_9,0.004260097426709623
Beta_wavelet_12_9,0.00412470712800327
Gamma_std_11,0.004054353494344893
Gamma_wavelet_4_8,0.00403645866365195
Gamma_psd_mean_7,0.0039045350993740877
Beta_skew_7,0.0038821737589894425
Theta_wavelet_4_5,0.0038494149656756677
Gamma_wavelet_11_8,0.003813927751082353
Beta_wavelet_7_9,0.0038125830339886956
Delta_power_7,0.0038010245255605526
Beta_wavelet_7_6,0.003650327255561315
Theta_wavelet_7_6,0.0035054862179273558
Alpha_psd_mean_20,0.003489756691737195
Gamma_power_7,0.0034485473337716407
Alpha_wavelet_7_6,0.003437151462956332
Theta_psd_mean_7,0.0034178665789190692
Gamma_psd_mean_0,0.0034128787027492427
Theta_std_12,0.00326087297288667
Gamma_psd_mean_11,0.003213118866202206
Delta_psd_mean_7,0.0032130306357360597
Alpha_wavelet_7_9,0.003156099656102411
Alpha_psd_mean_12,0.003130251951970127
Alpha_power_5,0.0030998619601475207
Gamma_power_12,0.0030957070895707307
Beta_wavelet_11_8,0.003088756346615554
Beta_wavelet_12_7,0.0030865607383128353
Theta_var_18,0.003076195791540116
Theta_wavelet_20_7,0.0030672550049673612
Gamma_wavelet_13_6,0.003043867829121394
Delta_wavelet_7_6,0.003037550449782131
Alpha_std_4,0.003011805333960103
Gamma_wavelet_6_7,0.0029964295822941162
Theta_wavelet_12_7,0.00298440103980672
Alpha_wavelet_20_5,0.002942250959782368
Alpha_wavelet_7_8,0.0029321549769614126
Theta_var_20,0.002886701598666351
Theta_wavelet_7_7,0.0028673046444220173
Gamma_wavelet_0_9,0.0028592824714454824
Gamma_wavelet_6_8,0.0028435879556470024
Theta_power_18,0.002838590017750654
Gamma_std_7,0.002836922744360361
Gamma_std_23,0.0028329698464997816
Alpha_var_18,0.0028084950496233313
Gamma_wavelet_7_6,0.0027094947169663923
Theta_var_13,0.0027013354522941913
Beta_psd_mean_4,0.0026989361476160772
Gamma_power_11,0.0026906134458629777
Alpha_wavelet_4_7,0.0026801295639904393
Beta_wavelet_4_8,0.0026343593699735906
Alpha_var_23,0.0026238152324718836
Delta_std_7,0.002524597444797482
Alpha_var_7,0.0025113265568212123
Delta_wavelet_4_5,0.002497317907811696
Gamma_wavelet_23_9,0.002457686486395743
Theta_wavelet_5_7,0.0024511834839075703
Alpha_std_7,0.0023715716864749848
Theta_var_4,0.00236089905549184
Alpha_var_12,0.0023559599581049868
Alpha_power_7,0.0023438160551236048
Beta_wavelet_5_8,0.0023230181781489965
Beta_var_7,0.002305954962928727
Delta_wavelet_7_5,0.002303738030576072
Gamma_var_12,0.0022800827312797352
Gamma_wavelet_0_5,0.0022429614482426573
Gamma_wavelet_0_7,0.0022411498472162095
Theta_wavelet_18_5,0.0021782355372450602
Beta_var_12,0.0021387905639107196
Alpha_skew_7,0.0021370593711690167
Alpha_wavelet_7_5,0.002136062719716734
Theta_var_28,0.0021314971796627365
Gamma_psd_mean_27,0.002128675787424331
Alpha_var_25,0.0021219332028456694
Beta_var_28,0.0021111480689979447
Beta_wavelet_13_6,0.0021085775990276117
Beta_wavelet_11_9,0.0021060263675605696
Alpha_wavelet_28_9,0.0021000967114282107
Gamma_wavelet_13_8,0.0020899218722897597
Alpha_wavelet_12_5,0.002077491444873395
Gamma_wavelet_13_9,0.0020738230811062582
Delta_var_12,0.0020541828392460202
Delta_var_7,0.002035459988745684
Beta_wavelet_13_9,0.0020292125020407135
Gamma_var_20,0.002028606765211772
Gamma_wavelet_20_9,0.002017654964208591
Beta_wavelet_25_7,0.002000986039264194
Alpha_wavelet_7_7,0.001996034792979961
Beta_psd_mean_28,0.0019900636901801663
Alpha_std_19,0.0019868445362746295
Alpha_wavelet_4_5,0.001966852527064407
Beta_wavelet_13_7,0.001955713688172834
Alpha_wavelet_10_6,0.0019431238016548455
Gamma_psd_mean_20,0.0019424969290456956
Theta_wavelet_23_5,0.0019231419688200953
Gamma_wavelet_19_7,0.001910040337470342
Gamma_std_4,0.001891371225634056
Theta_power_13,0.00186619579314477
Alpha_power_0,0.0018636480208139964
Alpha_psd_mean_7,0.0018447699619994935
Theta_wavelet_13_5,0.001839205219499323
Beta_power_7,0.0018351670351650444
Gamma_wavelet_13_5,0.001825325563557871
Alpha_wavelet_0_9,0.0018210933776923602
Beta_std_12,0.0018173058641157
Beta_wavelet_0_9,0.0018046726284420757
Theta_var_23,0.001798965780482059
Theta_power_20,0.001795603935948821
Beta_var_13,0.0017858435255446042
Gamma_wavelet_20_8,0.0017620996710370732
Delta_power_12,0.0017480360933791095
Beta_wavelet_12_8,0.0017326174486684508
Alpha_wavelet_13_9,0.0017155174311261514
Gamma_wavelet_23_8,0.0017020192268094102
Theta_var_11,0.0016885976061023157
Theta_wavelet_16_7,0.0016751994536625921
genre,0.00166879018877458
Gamma_wavelet_12_8,0.0016650378101421817
Theta_wavelet_16_5,0.0016540045056733324
Alpha_std_12,0.0016485996247820715
Gamma_std_20,0.001623711769785841
Alpha_wavelet_23_5,0.001614781057483201
Theta_wavelet_0_8,0.0016052414135353185
Beta_power_0,0.0015870003280329852
Alpha_var_0,0.0015836677098796928
Gamma_psd_mean_12,0.0015824510932657186
Alpha_power_23,0.0015814848937426597
Beta_wavelet_7_7,0.0015762530493667489
Beta_wavelet_7_8,0.0015691109245446308
Gamma_var_23,0.0015516284964048224
Delta_std_16,0.0015412322650185612
Beta_power_12,0.0015283963676809259
Theta_std_13,0.001527586461161469
Alpha_wavelet_12_9,0.0015270465113722824
Theta_wavelet_16_6,0.0015248614949994893
Alpha_wavelet_23_8,0.0015240847511465575
Delta_wavelet_0_9,0.0015231370779169953
Theta_wavelet_13_6,0.0015153850823107784
Gamma_std_0,0.0014973762876426123
Delta_power_20,0.0014856034776838825
Beta_std_18,0.001477748530174887
Delta_var_13,0.0014709238450260733
Gamma_wavelet_4_9,0.0014435394814217792
Theta_power_23,0.001421618334168596
Gamma_wavelet_26_9,0.0014195168556996882
Alpha_var_13,0.00141237279976111
Theta_std_4,0.0014036939961403357
Gamma_std_26,0.0013922896727878633
Beta_wavelet_7_5,0.001385923905130277
Alpha_wavelet_13_7,0.0013836539263684868
Theta_power_2,0.001381986264830257
Theta_std_31,0.0013806504608252009
Gamma_std_5,0.0013801120390418262
Gamma_std_2,0.0013794154254581012
Delta_std_13,0.00137719769097411
Delta_std_2,0.001372078884579184
Gamma_skew_7,0.0013709840092330791
Gamma_wavelet_23_7,0.0013701756837685374
Gamma_power_5,0.0013696521277374032
Gamma_wavelet_26_8,0.0013453439334647074
Gamma_wavelet_0_6,0.001339974981286335
Gamma_wavelet_5_9,0.00133899047403534
Beta_power_2,0.0013377284709648245
Alpha_std_13,0.0013340610740959831
Gamma_psd_mean_6,0.0013232121562561808
Beta_std_5,0.001322852010945638
Gamma_wavelet_23_6,0.0013225775816815479
Beta_wavelet_0_8,0.001321458619382202
Delta_wavelet_13_6,0.0013213831177192425
Gamma_wavelet_12_7,0.0013180817696254682
Delta_power_13,0.001316860724297487
Gamma_power_23,0.0013086579370739006
Gamma_var_18,0.001306659244983706
Beta_std_7,0.0013058716301866157
Gamma_wavelet_21_7,0.0013056952982695585
Beta_std_13,0.001303977592084706
Alpha_std_0,0.0012993295524218664
Theta_psd_mean_16,0.0012940736119331942
Theta_var_2,0.001291636431231948
Beta_wavelet_2_9,0.001272225156303373
Delta_wavelet_16_6,0.001267892440552987
Theta_wavelet_12_9,0.001256732027617058
Beta_wavelet_0_5,0.0012479078668003274
Alpha_wavelet_13_8,0.0012399595669837736
Alpha_wavelet_23_6,0.0012383968925000865
Theta_wavelet_23_6,0.0012372532356367746
Alpha_power_13,0.0012250575998618632
Delta_wavelet_0_7,0.0012202788843970838
Theta_power_16,0.0012173473669685056
Beta_wavelet_21_9,0.0012153897151223976
Alpha_wavelet_16_6,0.001188408104296275
Theta_wavelet_11_5,0.001184379966221873
Alpha_wavelet_17_6,0.0011820810435882241
Theta_var_17,0.001180201393333611
Delta_psd_mean_16,0.0011699070623854026
Alpha_wavelet_0_5,0.0011495502527078289
Theta_power_5,0.0011490851470889807
Gamma_var_5,0.0011431611801239507
Beta_power_5,0.0011408557674134005
Theta_var_15,0.0011403971343285448
Delta_wavelet_13_5,0.0011360621191895879
Gamma_power_20,0.0011312601407904182
