feature,importance
Gamma_wavelet_23_8,0.03825426
Gamma_wavelet_23_9,0.027561756
Gamma_wavelet_4_7,0.024567714
Gamma_wavelet_23_6,0.022661062
Gamma_power_20,0.022466501
Beta_wavelet_4_9,0.02199722
Gamma_wavelet_20_9,0.014290484
Gamma_var_20,0.013334831
Theta_wavelet_19_6,0.012910035
Beta_wavelet_18_7,0.012817949
Theta_psd_mean_23,0.012560487
Gamma_std_20,0.012311338
Beta_wavelet_4_8,0.011332745
Beta_var_18,0.0100959735
Theta_var_20,0.009493207
Alpha_psd_mean_31,0.00939881
Gamma_pca_var_0,0.009341486
Theta_wavelet_23_5,0.008946125
Beta_wavelet_13_8,0.008774973
Gamma_wavelet_21_8,0.008590926
Beta_wavelet_12_8,0.008414092
Beta_wavelet_13_9,0.008036403
Gamma_var_4,0.0074028266
Beta_wavelet_4_7,0.0073710107
Beta_wavelet_2_8,0.007320336
Theta_wavelet_20_7,0.0073039886
Beta_wavelet_2_7,0.007167602
Gamma_wavelet_2_5,0.0071602776
Alpha_var_17,0.007049212
Theta_psd_mean_29,0.0070037683
age,0.006826639
Gamma_psd_mean_18,0.006363295
Delta_std_13,0.0062719425
Gamma_std_23,0.0060301633
Delta_var_17,0.0059524705
Delta_var_5,0.0059067304
Beta_wavelet_17_6,0.005716104
Theta_power_20,0.005603213
Gamma_psd_mean_0,0.005426137
Delta_wavelet_5_5,0.0053442996
Theta_wavelet_0_7,0.005321563
Gamma_wavelet_4_9,0.005320166
Delta_wavelet_17_7,0.0052807922
Gamma_wavelet_18_8,0.005197222
Alpha_wavelet_23_5,0.0050708023
Gamma_wavelet_23_7,0.00489424
Delta_std_17,0.0047147223
Gamma_wavelet_26_9,0.0046582795
Gamma_wavelet_20_6,0.0045330687
Beta_wavelet_21_9,0.004388686
Delta_wavelet_20_6,0.004362139
Delta_psd_mean_17,0.004358679
Gamma_wavelet_0_9,0.004349758
Gamma_std_6,0.0042817113
Delta_wavelet_17_6,0.004271511
Gamma_std_24,0.004186861
Beta_var_20,0.004096804
Gamma_var_21,0.004088204
Theta_wavelet_7_5,0.0039812946
Gamma_wavelet_25_7,0.0039644684
Delta_psd_mean_16,0.003929932
Alpha_psd_mean_20,0.003919457
Beta_wavelet_16_6,0.0038844973
Alpha_wavelet_26_6,0.0038781222
Delta_std_11,0.0038519008
Gamma_var_0,0.00378632
Alpha_wavelet_25_6,0.0037571508
Beta_wavelet_20_9,0.0037406627
Beta_psd_mean_11,0.0036533736
Alpha_wavelet_20_7,0.0033775505
Beta_wavelet_25_7,0.0033385814
Beta_wavelet_20_7,0.0033248218
Theta_var_17,0.0033052727
Theta_wavelet_20_6,0.0032807346
Beta_var_7,0.0032728494
Alpha_wavelet_9_6,0.0032639783
Theta_pca_var_4,0.0032159877
Alpha_wavelet_17_7,0.0032033068
Beta_var_14,0.0031736621
Theta_psd_mean_25,0.0031416847
Alpha_pca_var_2,0.0031397757
Gamma_wavelet_0_7,0.003132184
Theta_std_17,0.003086081
Alpha_var_18,0.003020817
Beta_skew_7,0.0030136781
Delta_var_4,0.0029593024
Gamma_var_12,0.0029333418
Beta_psd_mean_5,0.0029224774
Alpha_wavelet_26_8,0.002921849
Theta_wavelet_24_6,0.0028075464
Beta_wavelet_0_8,0.0027957843
Gamma_wavelet_6_6,0.0027436363
Theta_wavelet_4_6,0.002691235
Gamma_var_6,0.0026536405
Beta_skew_21,0.002629546
Gamma_psd_mean_6,0.0026274333
Gamma_wavelet_13_9,0.002581285
Gamma_psd_mean_19,0.0025704033
Theta_wavelet_4_5,0.0025693038
Alpha_wavelet_18_5,0.0025475565
Beta_psd_mean_20,0.0025387672
Theta_std_7,0.0025345094
Delta_var_16,0.0025203726
Gamma_var_5,0.0025178797
Gamma_std_0,0.0025151805
Gamma_wavelet_6_9,0.0025139896
Theta_wavelet_17_8,0.0024915065
Alpha_var_4,0.0024682486
Beta_var_2,0.0024610576
Gamma_wavelet_0_8,0.0022829012
Alpha_std_5,0.0022699423
Gamma_wavelet_13_6,0.002238578
Theta_wavelet_16_5,0.002223048
Delta_psd_mean_14,0.00216942
Beta_psd_mean_2,0.0021680137
Gamma_wavelet_13_5,0.0021592854
Gamma_wavelet_6_7,0.00213054
Theta_std_20,0.002113964
Gamma_wavelet_7_9,0.0021021888
Gamma_wavelet_21_7,0.0020844948
Beta_wavelet_7_8,0.002062501
Beta_std_24,0.0020570622
Theta_var_4,0.0020488028
Delta_var_11,0.002010567
Theta_var_12,0.001997741
Delta_std_3,0.0019777138
Delta_psd_mean_7,0.0019630576
Beta_pca_var_3,0.0019395422
Delta_pca_var_0,0.0019289858
Theta_power_16,0.0019173298
Delta_std_9,0.0019131772
Gamma_wavelet_20_7,0.0019090538
Gamma_wavelet_24_9,0.0018944868
Gamma_psd_mean_4,0.0018921372
Theta_wavelet_25_5,0.0018845838
Alpha_var_16,0.0018814534
Theta_wavelet_14_5,0.0018719541
Beta_wavelet_1_8,0.001840584
Beta_psd_mean_13,0.0018248862
Alpha_wavelet_12_7,0.0018232453
Theta_wavelet_17_6,0.0018221423
Alpha_wavelet_17_8,0.0018115598
Gamma_var_24,0.0018063169
Alpha_wavelet_26_7,0.0017783962
Gamma_var_13,0.0017745306
Beta_var_24,0.0017539497
Gamma_psd_mean_24,0.0017465255
Gamma_skew_7,0.0017401291
Theta_wavelet_17_5,0.0016838919
Alpha_wavelet_22_8,0.0016793433
Delta_var_7,0.0016714028
Alpha_var_23,0.001646446
Delta_wavelet_25_6,0.0016187354
Beta_wavelet_19_9,0.001608054
Gamma_var_11,0.0016056052
Beta_wavelet_24_7,0.0015850547
Delta_std_7,0.0015715361
Alpha_var_5,0.0015630759
Theta_pca_var_2,0.0015557288
Beta_wavelet_4_5,0.001536996
Beta_wavelet_11_9,0.0015162146
Beta_wavelet_6_7,0.0015143297
Alpha_skew_5,0.0015009305
Alpha_wavelet_7_8,0.0014996242
Theta_psd_mean_20,0.0014943583
Alpha_wavelet_5_7,0.0014891202
Theta_psd_mean_17,0.001488019
Beta_std_7,0.0014874435
Theta_skew_7,0.0014689517
Theta_wavelet_16_6,0.0014519098
Alpha_wavelet_17_6,0.0014506896
Alpha_psd_mean_16,0.0014288054
Theta_var_26,0.0014171452
Gamma_psd_mean_29,0.0014002277
Delta_wavelet_13_9,0.001390861
Delta_var_23,0.001369688
Alpha_wavelet_9_5,0.0013641951
Alpha_skew_4,0.0013593684
Theta_wavelet_21_5,0.0013565056
Alpha_pca_var_4,0.0013364137
Theta_var_13,0.0013287303
Beta_psd_mean_1,0.0013270131
Delta_var_13,0.0013249043
Delta_var_18,0.0012952357
Gamma_var_29,0.0012887621
Gamma_var_23,0.0012569914
Beta_wavelet_16_7,0.0012472264
Alpha_psd_mean_6,0.0012428389
Beta_var_11,0.0012330806
Theta_std_18,0.0012289088
Delta_wavelet_24_8,0.0012200603
Gamma_psd_mean_13,0.001210901
Beta_wavelet_0_7,0.0012075586
Alpha_wavelet_6_7,0.0011908518
Beta_wavelet_21_6,0.001175187
Gamma_var_19,0.0011646086
Gamma_wavelet_29_6,0.0011644129
Beta_wavelet_24_8,0.0011537297
Beta_wavelet_5_7,0.001151372
Theta_wavelet_24_5,0.0011441665
Beta_wavelet_26_6,0.0011389591
Alpha_wavelet_20_8,0.0011327417
Gamma_wavelet_29_9,0.0011222543
Theta_wavelet_24_7,0.0011187446
Beta_psd_mean_17,0.0010848729
Delta_pca_var_3,0.0010491319
Theta_psd_mean_14,0.0010371377
Gamma_wavelet_7_7,0.0010350463
Delta_psd_mean_6,0.0010313657
Delta_wavelet_18_7,0.0010200691
