feature,mean_abs_shap,importance_mean,importance_std,band
eeg_C4-A1_delta_bp_rel_std,0.0039969403083594,0.0,0.0,delta
eeg_Fp2-T4_peak_freq_mean,0.0035012786902578,0.0,0.0,0.5–80.0Hz
eeg_RONF_alpha_bp_rel_std,0.0034299922963183,0.0,0.0,alpha
eeg_C4-A1_beta_bp_abs_std,0.0032937614207384,0.0,0.0,beta
eeg_ECG_gamma_bas_bp_rel_std,0.003197913137188,0.0,0.0,gamma_bas
eeg_T4-A1_gamma_bas_bp_abs_std,0.0031148621745269,0.0,0.0,gamma_bas
eeg_T4-A1_spec_entropy_mean,0.003052419422465,0.0,0.0,0.5–80.0Hz
eeg_C4-A1_rms_std,0.0029427567305885,0.0,0.0,0.5–80.0Hz
eeg_T4-O2_zc_std,0.002880031043647,0.0,0.0,0.5–80.0Hz
eeg_Fp1-C3_spec_entropy_mean,0.002682741759275,0.0,0.0,0.5–80.0Hz
eeg_Fp1-C3_theta_bp_abs_mean,0.0026310062170478,0.0,0.0,theta
eeg_Fp1-C3_spec_centroid_mean,0.00251006887691,0.0,0.0,0.5–80.0Hz
eeg_Fp1-C3_alpha_bp_abs_mean,0.0023427454870953,0.0,0.0,alpha
eeg_C3-A1_beta_bp_rel_std,0.0022227368507128,0.0,0.0,beta
eeg_C3-A1_alpha_bp_rel_std,0.0021968863171012,0.0,0.0,alpha
eeg_Fp1-T3_gamma_bas_bp_rel_std,0.0021793634090162,0.0,0.0,gamma_bas
eeg_T4-A1_beta_bp_rel_std,0.0021674967449369,0.0,0.0,beta
eeg_ECG_gamma_bas_bp_rel_mean,0.0021420715483568,0.0,0.0,gamma_bas
eeg_Fp1-T3_gamma_haut_bp_rel_std,0.0021292194331538,0.0,0.0,gamma_haut
eeg_C4-A1_alpha_bp_rel_std,0.002111743619562,0.0,0.0,alpha
