group,n,W,p_shapiro,metric,channel
EAI,1,,,mean_perc_phasic,EMG1
NARCO,7,0.9662679951965362,0.8703511405294592,mean_perc_phasic,EMG1
SYN,17,0.827751000564612,0.005000468449746364,mean_perc_phasic,EMG1
TCSP,27,0.9098575090041717,0.022645346800318846,mean_perc_phasic,EMG1
EAI,1,,,mean_perc_phasic,EMG2
NARCO,7,0.9206516427015835,0.47447205185911473,mean_perc_phasic,EMG2
SYN,17,0.8769643833669752,0.028400909766645145,mean_perc_phasic,EMG2
TCSP,27,0.8359093512429968,0.0006136735407534612,mean_perc_phasic,EMG2
EAI,6,0.967246447836513,0.8734534520403031,mean_perc_phasic,JAMBD
NARCO,7,0.955445320283276,0.7788398482043117,mean_perc_phasic,JAMBD
SYN,18,0.888920404150495,0.03698449795697154,mean_perc_phasic,JAMBD
TCSP,35,0.49925177427117906,8.791744625054401e-10,mean_perc_phasic,JAMBD
EAI,1,,,mean_perc_phasic,JAMBG
NARCO,7,0.9506877773829898,0.7359565288441505,mean_perc_phasic,JAMBG
SYN,17,0.8835964092986517,0.03637976244870676,mean_perc_phasic,JAMBG
TCSP,27,0.891749540296183,0.008704067217327903,mean_perc_phasic,JAMBG
EAI,6,0.8523298141448856,0.16436304009121766,mean_perc_phasic,Menton
NARCO,7,0.8713758116769144,0.19083463959070845,mean_perc_phasic,Menton
SYN,18,0.8575986382875345,0.011185505711302009,mean_perc_phasic,Menton
TCSP,35,0.8616809062602938,0.0004293998148090676,mean_perc_phasic,Menton
EAI,1,,,mean_phasic_density,EMG1
NARCO,7,0.9660938882067509,0.868985632954925,mean_phasic_density,EMG1
SYN,17,0.8617161345357197,0.016265760954942695,mean_phasic_density,EMG1
TCSP,27,0.9103193825354337,0.023218885804796426,mean_phasic_density,EMG1
EAI,1,,,mean_phasic_density,EMG2
NARCO,7,0.95735687748418,0.7957641719362905,mean_phasic_density,EMG2
SYN,17,0.9181889617894903,0.13761470583104068,mean_phasic_density,EMG2
TCSP,27,0.8876796438555168,0.007068044406459947,mean_phasic_density,EMG2
EAI,6,0.9671994293923554,0.8731213964080333,mean_phasic_density,JAMBD
NARCO,7,0.9245556431606394,0.5056053607688475,mean_phasic_density,JAMBD
SYN,18,0.9408537452059654,0.2996782589353896,mean_phasic_density,JAMBD
TCSP,35,0.56719717578178,5.507943939244404e-09,mean_phasic_density,JAMBD
EAI,1,,,mean_phasic_density,JAMBG
NARCO,7,0.9451259550049668,0.6852314714384355,mean_phasic_density,JAMBG
SYN,17,0.9330784372387895,0.24494202321773734,mean_phasic_density,JAMBG
TCSP,27,0.9119292888076056,0.025339858961147866,mean_phasic_density,JAMBG
EAI,6,0.8647350005781628,0.20601230907924184,mean_phasic_density,Menton
NARCO,7,0.8891710229765633,0.27036722500947746,mean_phasic_density,Menton
SYN,18,0.899935872833973,0.057309696128468014,mean_phasic_density,Menton
TCSP,35,0.8446787118819308,0.00017503664395793553,mean_phasic_density,Menton
EAI,1,,,median_tonic_ratio,EMG1
NARCO,7,0.9438770592463224,0.6738505501012912,median_tonic_ratio,EMG1
SYN,17,0.6886918467359527,8.631997181975207e-05,median_tonic_ratio,EMG1
TCSP,27,0.8545906454307036,0.0014217523409236512,median_tonic_ratio,EMG1
EAI,1,,,median_tonic_ratio,EMG2
NARCO,7,0.9247070549178116,0.5068363513866003,median_tonic_ratio,EMG2
SYN,17,0.7556507116337448,0.0005319407265621835,median_tonic_ratio,EMG2
TCSP,27,0.7141230443359116,6.133058430264566e-06,median_tonic_ratio,EMG2
EAI,6,0.9130619339828824,0.45684466231859716,median_tonic_ratio,JAMBD
NARCO,7,0.874548821552005,0.20333002808497735,median_tonic_ratio,JAMBD
SYN,18,0.930900395936847,0.20139545779789314,median_tonic_ratio,JAMBD
TCSP,35,0.6353772706323355,4.2431963167317214e-08,median_tonic_ratio,JAMBD
EAI,1,,,median_tonic_ratio,JAMBG
NARCO,7,0.5553267998580487,7.97119574345585e-05,median_tonic_ratio,JAMBG
SYN,17,0.8051745206668728,0.002390713248280211,median_tonic_ratio,JAMBG
TCSP,27,0.7532179615403555,2.3433453256416074e-05,median_tonic_ratio,JAMBG
EAI,6,0.8822182678913475,0.2793994259005981,median_tonic_ratio,Menton
NARCO,7,0.8924508663618099,0.28769345377119543,median_tonic_ratio,Menton
SYN,18,0.668437466079641,3.508641448650849e-05,median_tonic_ratio,Menton
TCSP,35,0.8560862767762658,0.0003178792415285761,median_tonic_ratio,Menton
EAI,1,,,pct_ep_with_phasic,EMG1
NARCO,7,0.8553433190105988,0.1374584608275658,pct_ep_with_phasic,EMG1
SYN,17,0.9841647336808047,0.9855052940873918,pct_ep_with_phasic,EMG1
TCSP,27,0.9571176355798972,0.31709438772774634,pct_ep_with_phasic,EMG1
EAI,1,,,pct_ep_with_phasic,EMG2
NARCO,7,0.8793991045912363,0.22379424546330384,pct_ep_with_phasic,EMG2
SYN,17,0.9815224835688257,0.9696657527123276,pct_ep_with_phasic,EMG2
TCSP,27,0.9479782380866434,0.19141120122171973,pct_ep_with_phasic,EMG2
EAI,6,0.837454563865274,0.12416843219071527,pct_ep_with_phasic,JAMBD
NARCO,7,0.8633205024507965,0.1620804492950333,pct_ep_with_phasic,JAMBD
SYN,18,0.9613192810859943,0.6272957456736185,pct_ep_with_phasic,JAMBD
TCSP,35,0.9423422388788653,0.06596653834165109,pct_ep_with_phasic,JAMBD
EAI,1,,,pct_ep_with_phasic,JAMBG
NARCO,7,0.94157002381608,0.6528999123663326,pct_ep_with_phasic,JAMBG
SYN,17,0.959561382417819,0.6232505121009728,pct_ep_with_phasic,JAMBG
TCSP,27,0.9562718480779372,0.30294106578469626,pct_ep_with_phasic,JAMBG
EAI,6,0.8616294740747067,0.19482687180145425,pct_ep_with_phasic,Menton
NARCO,7,0.9658210002195354,0.8668364270223472,pct_ep_with_phasic,Menton
SYN,18,0.9425917634785048,0.3207411634920608,pct_ep_with_phasic,Menton
TCSP,35,0.9883571968231883,0.9666017871349009,pct_ep_with_phasic,Menton
EAI,1,,,pct_heavy,EMG1
NARCO,7,0.8520953525031012,0.12843494920145565,pct_heavy,EMG1
SYN,17,0.9708727594384811,0.8335603236657749,pct_heavy,EMG1
TCSP,27,0.969903786307312,0.5992715129595116,pct_heavy,EMG1
EAI,1,,,pct_heavy,EMG2
NARCO,7,0.9201944612995226,0.47090453931624626,pct_heavy,EMG2
SYN,17,0.9709153740693199,0.8342881343150729,pct_heavy,EMG2
TCSP,27,0.9672056306639969,0.5299309531083417,pct_heavy,EMG2
EAI,6,0.9322568098038944,0.5976395544820742,pct_heavy,JAMBD
NARCO,7,0.809908795172686,0.05126290351599513,pct_heavy,JAMBD
SYN,18,0.954887282859899,0.5067046177050959,pct_heavy,JAMBD
TCSP,35,0.9608426772819967,0.24233422935970433,pct_heavy,JAMBD
EAI,1,,,pct_heavy,JAMBG
NARCO,7,0.8489789502434183,0.1202835995241609,pct_heavy,JAMBG
SYN,17,0.9340126155811694,0.2538381417262165,pct_heavy,JAMBG
TCSP,27,0.9377732482091802,0.1073663877595955,pct_heavy,JAMBG
EAI,6,0.8440764214874885,0.1408539572780027,pct_heavy,Menton
NARCO,7,0.9217395629923552,0.48302845790107773,pct_heavy,Menton
SYN,18,0.945769624655016,0.36255313563859,pct_heavy,Menton
TCSP,35,0.9796381656113494,0.7473635434777246,pct_heavy,Menton
EAI,1,,,pct_rswa,EMG1
NARCO,7,0.8110735838410541,0.052622124662910816,pct_rswa,EMG1
SYN,17,0.8388734317258499,0.007289208232019223,pct_rswa,EMG1
TCSP,27,0.919905634845892,0.03927428883821627,pct_rswa,EMG1
EAI,1,,,pct_rswa,EMG2
NARCO,7,0.8877754385337011,0.2632593557051129,pct_rswa,EMG2
SYN,17,0.9049176353851522,0.08213073119258019,pct_rswa,EMG2
TCSP,27,0.9276422482877422,0.06051053987649322,pct_rswa,EMG2
EAI,6,0.8604861889884465,0.19084032326932326,pct_rswa,JAMBD
NARCO,7,0.9165299252158692,0.44292533665849515,pct_rswa,JAMBD
SYN,18,0.8318387076420815,0.00443760759303202,pct_rswa,JAMBD
TCSP,35,0.9062173766675207,0.005835017750394541,pct_rswa,JAMBD
EAI,1,,,pct_rswa,JAMBG
NARCO,7,0.9436201892987895,0.6715125587270501,pct_rswa,JAMBG
SYN,17,0.8251734828755586,0.004588138100735591,pct_rswa,JAMBG
TCSP,27,0.8986943154485291,0.012488104807387457,pct_rswa,JAMBG
EAI,6,0.821093334792084,0.09019420742857391,pct_rswa,Menton
NARCO,7,0.7796163444874048,0.025600785839186742,pct_rswa,Menton
SYN,18,0.8742104073570637,0.020888643790186772,pct_rswa,Menton
TCSP,35,0.9118420364372304,0.008358784693935906,pct_rswa,Menton
