metric,channel,group1,group2,n1,n2,U,p_raw,r_rank_biserial,p_bonferroni,sig_bonferroni,p_holm,sig_holm
mean_perc_phasic,EMG1,EAI,NARCO,1,7,0.0,0.25,1.0,1.0,False,1.0,False
mean_perc_phasic,EMG1,EAI,SYN,1,17,4.0,0.5555555555555556,0.5294117647058824,1.0,False,1.0,False
mean_perc_phasic,EMG1,EAI,TCSP,1,27,4.0,0.3571428571428571,0.7037037037037037,1.0,False,1.0,False
mean_perc_phasic,EMG1,NARCO,SYN,7,17,82.0,0.1661697062154728,-0.37815126050420167,0.9970182372928369,False,0.9970182372928369,False
mean_perc_phasic,EMG1,NARCO,TCSP,7,27,116.0,0.37936127783098267,-0.22751322751322745,1.0,False,1.0,False
mean_perc_phasic,EMG1,SYN,TCSP,17,27,196.0,0.426374068680618,0.14596949891067534,1.0,False,1.0,False
mean_perc_phasic,EMG2,EAI,NARCO,1,7,1.0,0.5,0.7142857142857143,1.0,False,1.0,False
mean_perc_phasic,EMG2,EAI,SYN,1,17,6.0,0.7777777777777779,0.2941176470588235,1.0,False,1.0,False
mean_perc_phasic,EMG2,EAI,TCSP,1,27,7.0,0.5714285714285713,0.4814814814814815,1.0,False,1.0,False
mean_perc_phasic,EMG2,NARCO,SYN,7,17,72.0,0.4551233155352149,-0.2100840336134453,1.0,False,1.0,False
mean_perc_phasic,EMG2,NARCO,TCSP,7,27,120.0,0.29412210834379254,-0.26984126984126977,1.0,False,1.0,False
mean_perc_phasic,EMG2,SYN,TCSP,17,27,235.0,0.9040736763105378,-0.023965141612200425,1.0,False,1.0,False
mean_perc_phasic,JAMBD,EAI,NARCO,6,7,14.0,0.36596736596736595,0.33333333333333337,1.0,False,1.0,False
mean_perc_phasic,JAMBD,EAI,SYN,6,18,48.0,0.721120984278879,0.11111111111111116,1.0,False,1.0,False
mean_perc_phasic,JAMBD,EAI,TCSP,6,35,108.0,0.9284185439512784,-0.02857142857142847,1.0,False,1.0,False
mean_perc_phasic,JAMBD,NARCO,SYN,7,18,80.0,0.3260786353234866,-0.26984126984126977,1.0,False,1.0,False
mean_perc_phasic,JAMBD,NARCO,TCSP,7,35,164.0,0.17011639861447306,-0.3387755102040817,1.0,False,1.0,False
mean_perc_phasic,JAMBD,SYN,TCSP,18,35,337.0,0.6863627957402778,-0.06984126984126982,1.0,False,1.0,False
mean_perc_phasic,JAMBG,EAI,NARCO,1,7,6.0,0.5,-0.7142857142857142,1.0,False,1.0,False
mean_perc_phasic,JAMBG,EAI,SYN,1,17,13.0,0.5555555555555556,-0.5294117647058822,1.0,False,1.0,False
mean_perc_phasic,JAMBG,EAI,TCSP,1,27,26.0,0.14285714285714285,-0.9259259259259258,0.8571428571428571,False,0.5714285714285714,False
mean_perc_phasic,JAMBG,NARCO,SYN,7,17,63.0,0.8524952037537852,-0.05882352941176472,1.0,False,1.0,False
mean_perc_phasic,JAMBG,NARCO,TCSP,7,27,141.0,0.048477809568564005,-0.4920634920634921,0.290866857411384,False,0.24238904784282003,False
mean_perc_phasic,JAMBG,SYN,TCSP,17,27,326.0,0.020671842906294296,-0.420479302832244,0.12403105743776577,False,0.12403105743776577,False
mean_perc_phasic,Menton,EAI,NARCO,6,7,11.0,0.18065268065268064,0.47619047619047616,1.0,False,0.7809815200530851,False
mean_perc_phasic,Menton,EAI,SYN,6,18,33.0,0.17651341793218223,0.38888888888888884,1.0,False,0.7809815200530851,False
mean_perc_phasic,Menton,EAI,TCSP,6,35,87.0,0.5281376963020096,0.17142857142857137,1.0,False,1.0,False
mean_perc_phasic,Menton,NARCO,SYN,7,18,69.0,0.7450884127314332,-0.09523809523809534,1.0,False,1.0,False
mean_perc_phasic,Menton,NARCO,TCSP,7,35,169.0,0.12232870769456135,-0.379591836734694,0.7339722461673681,False,0.7339722461673681,False
mean_perc_phasic,Menton,SYN,TCSP,18,35,391.0,0.15619630401061702,-0.2412698412698413,0.9371778240637021,False,0.7809815200530851,False
mean_phasic_density,EMG1,EAI,NARCO,1,7,0.0,0.25,1.0,1.0,False,1.0,False
mean_phasic_density,EMG1,EAI,SYN,1,17,4.0,0.5555555555555556,0.5294117647058824,1.0,False,1.0,False
mean_phasic_density,EMG1,EAI,TCSP,1,27,4.0,0.3571428571428571,0.7037037037037037,1.0,False,1.0,False
mean_phasic_density,EMG1,NARCO,SYN,7,17,81.0,0.1869206943577653,-0.3613445378151261,1.0,False,1.0,False
mean_phasic_density,EMG1,NARCO,TCSP,7,27,116.0,0.37936127783098267,-0.22751322751322745,1.0,False,1.0,False
mean_phasic_density,EMG1,SYN,TCSP,17,27,198.0,0.45493988056643997,0.13725490196078427,1.0,False,1.0,False
