metric,channel,H,p_kw
mean_perc_phasic,EMG1,3.490739498508617,0.3219651644152859
mean_perc_phasic,EMG2,1.698087459463693,0.6373590809083067
mean_perc_phasic,JAMBD,2.0695569770196585,0.5580961030759191
mean_perc_phasic,JAMBG,8.964543533910899,0.029766032918069948
mean_perc_phasic,Menton,4.695427623785832,0.19550705738008692
mean_phasic_density,EMG1,3.3422082911538666,0.34181110880038035
mean_phasic_density,EMG2,1.6592918734982902,0.6460217363556249
mean_phasic_density,JAMBD,2.0077232883203067,0.5708052555688388
mean_phasic_density,JAMBG,9.341487344816983,0.025078857096722553
mean_phasic_density,Menton,5.547168917318174,0.13584445630479988
median_tonic_ratio,EMG1,1.1605243935987346,0.7624869128717469
median_tonic_ratio,EMG2,2.411612927706159,0.4914765409544646
median_tonic_ratio,JAMBD,0.7906915638258738,0.8516921687076333
median_tonic_ratio,JAMBG,7.13272188410923,0.06778565735457502
median_tonic_ratio,Menton,5.488608903534242,0.13932152075456958
pct_ep_with_phasic,EMG1,0.4770172523336969,0.923910818795519
pct_ep_with_phasic,EMG2,3.157857326682913,0.36792119167316517
pct_ep_with_phasic,JAMBD,1.6258739849785062,0.6535374011373178
pct_ep_with_phasic,JAMBG,4.502376338132134,0.2120784213401549
pct_ep_with_phasic,Menton,2.5556209230352747,0.4653229422786056
pct_heavy,EMG1,0.5861088369428041,0.8996049437141087
pct_heavy,EMG2,3.563048222155673,0.3126765694876829
pct_heavy,JAMBD,1.1455176918542727,0.7660988242061074
pct_heavy,JAMBG,2.695418710795423,0.4410063979787654
pct_heavy,Menton,0.8128898651487103,0.8463815285089092
pct_rswa,EMG1,2.3098282235268663,0.5106406954970473
pct_rswa,EMG2,5.327565779361112,0.14932365723576624
pct_rswa,JAMBD,3.8001121532415265,0.28387308572609465
pct_rswa,JAMBG,7.317172747797265,0.06244691361525275
pct_rswa,Menton,7.331702000377644,0.06204414114029877
