metric,channel,group,group_mean,group_sd,n
mean_perc_phasic,EMG1,EAI,0.012997898488994122,,1
mean_perc_phasic,EMG1,NARCO,0.09153927123938622,0.05136500369297298,7
mean_perc_phasic,EMG1,SYN,0.06910359204252327,0.06793515292638312,17
mean_perc_phasic,EMG1,TCSP,0.07982432112165018,0.06343339884790264,27
mean_perc_phasic,EMG2,EAI,0.0383857847691776,,1
mean_perc_phasic,EMG2,NARCO,0.10063525755061827,0.05501441716039083,7
mean_perc_phasic,EMG2,SYN,0.09310612202442814,0.08588183197132124,17
mean_perc_phasic,EMG2,TCSP,0.083245730499762,0.07256954696683551,27
mean_perc_phasic,JAMBD,EAI,0.043095317713126,0.031324217495979426,6
mean_perc_phasic,JAMBD,NARCO,0.0667366021601018,0.0392887416555317,7
mean_perc_phasic,JAMBD,SYN,0.05360222424289821,0.04495463381701937,18
mean_perc_phasic,JAMBD,TCSP,0.06531265189562617,0.11003982038980702,35
mean_perc_phasic,JAMBG,EAI,0.1141826292254888,,1
mean_perc_phasic,JAMBG,NARCO,0.06400265795209804,0.03838881140854007,7
mean_perc_phasic,JAMBG,SYN,0.07248216821774521,0.06160044885549002,17
mean_perc_phasic,JAMBG,TCSP,0.034245302939313355,0.026391339171634973,27
mean_perc_phasic,Menton,EAI,0.07622366278749176,0.08167015186900538,6
mean_perc_phasic,Menton,NARCO,0.12857903116171202,0.059360299959072105,7
mean_perc_phasic,Menton,SYN,0.13365497735176257,0.10357731677049795,18
mean_perc_phasic,Menton,TCSP,0.09325146829933845,0.08387439032345612,35
mean_phasic_density,EMG1,EAI,0.3179365909306968,,1
mean_phasic_density,EMG1,NARCO,1.971461100020852,0.9844390568951018,7
mean_phasic_density,EMG1,SYN,1.5126154760860735,1.3246109799679284,17
mean_phasic_density,EMG1,TCSP,1.7249654503209078,1.3106531258257927,27
mean_phasic_density,EMG2,EAI,0.6948735621256773,,1
mean_phasic_density,EMG2,NARCO,2.0580332226299727,0.9870549814817133,7
mean_phasic_density,EMG2,SYN,1.968608714368284,1.6128032345441863,17
mean_phasic_density,EMG2,TCSP,1.7618302466550972,1.3631328363340285,27
mean_phasic_density,JAMBD,EAI,0.9243808395888911,0.6351474528091516,6
mean_phasic_density,JAMBD,NARCO,1.4393043092813806,0.7525082986439603,7
mean_phasic_density,JAMBD,SYN,1.1969863296405796,0.8550636324574509,18
mean_phasic_density,JAMBD,TCSP,1.3868925654894555,1.9948819415249261,35
mean_phasic_density,JAMBG,EAI,2.66511788192794,,1
mean_phasic_density,JAMBG,NARCO,1.405191781798732,0.7553082681303414,7
mean_phasic_density,JAMBG,SYN,1.5332595786648768,1.1184334674621639,17
mean_phasic_density,JAMBG,TCSP,0.7980705286480775,0.5700853257607988,27
mean_phasic_density,Menton,EAI,1.4029027731595332,1.4136040447198082,6
mean_phasic_density,Menton,NARCO,2.4294326487862064,1.0665156994004499,7
mean_phasic_density,Menton,SYN,2.5054493287729347,1.6481378613435456,18
mean_phasic_density,Menton,TCSP,1.8540190440926725,1.6221478102408136,35
median_tonic_ratio,EMG1,EAI,1.0386352763139877,,1
median_tonic_ratio,EMG1,NARCO,0.9989743757795851,0.03577459030794039,7
median_tonic_ratio,EMG1,SYN,1.0511228804124548,0.1318022370550476,17
median_tonic_ratio,EMG1,TCSP,1.0174636057388455,0.06240105899645329,27
median_tonic_ratio,EMG2,EAI,1.008369928243834,,1
median_tonic_ratio,EMG2,NARCO,1.0011603121321218,0.05282782477653981,7
median_tonic_ratio,EMG2,SYN,1.040760074461687,0.10336371798204472,17
median_tonic_ratio,EMG2,TCSP,0.9972428301646669,0.08496240261070122,27
median_tonic_ratio,JAMBD,EAI,1.0040624214389542,0.07311702535835066,6
median_tonic_ratio,JAMBD,NARCO,1.0014571689781757,0.011218526024209972,7
median_tonic_ratio,JAMBD,SYN,1.015366343960104,0.050740044806678236,18
median_tonic_ratio,JAMBD,TCSP,1.0241683026625297,0.0532875555819237,35
median_tonic_ratio,JAMBG,EAI,1.2121577795213798,,1
median_tonic_ratio,JAMBG,NARCO,0.9639973789824554,0.08764147940575814,7
median_tonic_ratio,JAMBG,SYN,1.0526748191223874,0.15151710349752895,17
