metric,channel,group1,group2,meandiff,p_adj_tukey,lower,upper,reject
mean_perc_phasic,EMG1,EAI,NARCO,0.0785,0.6578,-0.1025,0.2596,False
mean_perc_phasic,EMG1,EAI,SYN,0.0561,0.8268,-0.1181,0.2303,False
mean_perc_phasic,EMG1,EAI,TCSP,0.0668,0.732,-0.1056,0.2393,False
mean_perc_phasic,EMG1,NARCO,SYN,-0.0224,0.8608,-0.0985,0.0536,False
mean_perc_phasic,EMG1,NARCO,TCSP,-0.0117,0.9723,-0.0835,0.0601,False
mean_perc_phasic,EMG1,SYN,TCSP,0.0107,0.9476,-0.0417,0.0631,False
mean_perc_phasic,EMG2,EAI,NARCO,0.0622,0.8667,-0.1524,0.2769,False
mean_perc_phasic,EMG2,EAI,SYN,0.0547,0.8946,-0.1518,0.2613,False
mean_perc_phasic,EMG2,EAI,TCSP,0.0449,0.9364,-0.1596,0.2493,False
mean_perc_phasic,EMG2,NARCO,SYN,-0.0075,0.9961,-0.0977,0.0826,False
mean_perc_phasic,EMG2,NARCO,TCSP,-0.0174,0.9478,-0.1025,0.0678,False
mean_perc_phasic,EMG2,SYN,TCSP,-0.0099,0.9744,-0.072,0.0523,False
mean_perc_phasic,JAMBD,EAI,NARCO,0.0236,0.9603,-0.1029,0.1502,False
mean_perc_phasic,JAMBD,EAI,SYN,0.0105,0.9939,-0.0967,0.1177,False
mean_perc_phasic,JAMBD,EAI,TCSP,0.0222,0.9367,-0.0783,0.1227,False
mean_perc_phasic,JAMBD,NARCO,SYN,-0.0131,0.9861,-0.1145,0.0882,False
mean_perc_phasic,JAMBD,NARCO,TCSP,-0.0014,1.0,-0.0956,0.0928,False
mean_perc_phasic,JAMBD,SYN,TCSP,0.0117,0.9657,-0.0543,0.0777,False
mean_perc_phasic,JAMBG,EAI,NARCO,-0.0502,0.6922,-0.1718,0.0714,False
mean_perc_phasic,JAMBG,EAI,SYN,-0.0417,0.779,-0.1587,0.0753,False
mean_perc_phasic,JAMBG,EAI,TCSP,-0.0799,0.2691,-0.1958,0.0359,False
mean_perc_phasic,JAMBG,NARCO,SYN,0.0085,0.9709,-0.0426,0.0596,False
mean_perc_phasic,JAMBG,NARCO,TCSP,-0.0298,0.3655,-0.078,0.0185,False
mean_perc_phasic,JAMBG,SYN,TCSP,-0.0382,0.0285,-0.0735,-0.003,True
mean_perc_phasic,Menton,EAI,NARCO,0.0524,0.7066,-0.0764,0.1811,False
mean_perc_phasic,Menton,EAI,SYN,0.0574,0.5101,-0.0516,0.1665,False
mean_perc_phasic,Menton,EAI,TCSP,0.017,0.9713,-0.0852,0.1192,False
mean_perc_phasic,Menton,NARCO,SYN,0.0051,0.9992,-0.098,0.1081,False
mean_perc_phasic,Menton,NARCO,TCSP,-0.0353,0.7648,-0.1311,0.0605,False
mean_perc_phasic,Menton,SYN,TCSP,-0.0404,0.3919,-0.1075,0.0267,False
mean_phasic_density,EMG1,EAI,NARCO,1.6535,0.6242,-1.9861,5.2932,False
mean_phasic_density,EMG1,EAI,SYN,1.1947,0.8009,-2.3086,4.6979,False
mean_phasic_density,EMG1,EAI,TCSP,1.407,0.7032,-2.06,4.8741,False
mean_phasic_density,EMG1,NARCO,SYN,-0.4588,0.8547,-1.9878,1.0701,False
mean_phasic_density,EMG1,NARCO,TCSP,-0.2465,0.9685,-1.6905,1.1975,False
mean_phasic_density,EMG1,SYN,TCSP,0.2123,0.9498,-0.8417,1.2664,False
mean_phasic_density,EMG2,EAI,NARCO,1.3632,0.8034,-2.6557,5.3821,False
mean_phasic_density,EMG2,EAI,SYN,1.2737,0.8171,-2.5946,5.1421,False
mean_phasic_density,EMG2,EAI,TCSP,1.067,0.8797,-2.7614,4.8953,False
mean_phasic_density,EMG2,NARCO,SYN,-0.0894,0.999,-1.7777,1.5989,False
mean_phasic_density,EMG2,NARCO,TCSP,-0.2962,0.96,-1.8907,1.2983,False
mean_phasic_density,EMG2,SYN,TCSP,-0.2068,0.9647,-1.3707,0.9572,False
mean_phasic_density,JAMBD,EAI,NARCO,0.5149,0.9351,-1.7936,2.8234,False
mean_phasic_density,JAMBD,EAI,SYN,0.2726,0.9828,-1.6834,2.2286,False
mean_phasic_density,JAMBD,EAI,TCSP,0.4625,0.9095,-1.3709,2.2959,False
mean_phasic_density,JAMBD,NARCO,SYN,-0.2423,0.9856,-2.0906,1.606,False
mean_phasic_density,JAMBD,NARCO,TCSP,-0.0524,0.9998,-1.7704,1.6656,False
mean_phasic_density,JAMBD,SYN,TCSP,0.1899,0.9754,-1.0136,1.3934,False
mean_phasic_density,JAMBG,EAI,NARCO,-1.2599,0.4776,-3.5789,1.059,False
mean_phasic_density,JAMBG,EAI,SYN,-1.1319,0.5366,-3.3639,1.1002,False
mean_phasic_density,JAMBG,EAI,TCSP,-1.867,0.1247,-4.076,0.3419,False
mean_phasic_density,JAMBG,NARCO,SYN,0.1281,0.9851,-0.8461,1.1022,False
