feature,importance_mean,importance_std
emg_eye_corr_abs_max,0.0,0.0
eeg_Fp1-T3_mean_mean,0.0,0.0
eeg_Fp1-T3_mean_std,0.0,0.0
eeg_Fp1-T3_std_mean,0.0,0.0
eeg_Fp1-T3_std_std,0.0,0.0
eeg_Fp1-T3_var_mean,0.0,0.0
eeg_Fp1-T3_var_std,0.0,0.0
eeg_Fp1-T3_rms_mean,0.0,0.0
eeg_Fp1-T3_rms_std,0.0,0.0
eeg_Fp1-T3_zc_mean,0.0,0.0
eeg_EMG1_bandwidth_mean,0.0,0.0
eeg_EMG1_bandwidth_std,0.0,0.0
eeg_EMG2_spec_centroid_mean,0.0,0.0
eeg_EMG2_spec_centroid_std,0.0,0.0
eeg_EMG2_spec_entropy_mean,0.0,0.0
eeg_EMG2_spec_entropy_std,0.0,0.0
eeg_EMG2_peak_freq_mean,0.0,0.0
eeg_EMG2_peak_freq_std,0.0,0.0
eeg_RONF_bandwidth_mean,0.0,0.0
eeg_RONF_bandwidth_std,0.0,0.0
eeg_EMG1_spec_centroid_mean,0.0,0.0
eeg_EMG1_spec_centroid_std,0.0,0.0
eeg_EMG1_spec_entropy_mean,0.0,0.0
eeg_EMG1_spec_entropy_std,0.0,0.0
eeg_EMG1_peak_freq_mean,0.0,0.0
eeg_EMG1_peak_freq_std,0.0,0.0
eeg_JAMBD_bandwidth_mean,0.0,0.0
eeg_JAMBD_bandwidth_std,0.0,0.0
eeg_RONF_spec_centroid_mean,0.0,0.0
eeg_RONF_spec_centroid_std,0.0,0.0
eeg_RONF_spec_entropy_mean,0.0,0.0
eeg_RONF_spec_entropy_std,0.0,0.0
eeg_RONF_peak_freq_mean,0.0,0.0
eeg_RONF_peak_freq_std,0.0,0.0
eeg_JAMBG_bandwidth_mean,0.0,0.0
eeg_JAMBG_bandwidth_std,0.0,0.0
eeg_JAMBD_spec_centroid_mean,0.0,0.0
eeg_JAMBD_spec_centroid_std,0.0,0.0
eeg_JAMBD_spec_entropy_mean,0.0,0.0
eeg_JAMBD_spec_entropy_std,0.0,0.0
eeg_JAMBD_peak_freq_mean,0.0,0.0
eeg_JAMBD_peak_freq_std,0.0,0.0
eeg_Fp2-T4_kurt_mean,0.0,0.0
eeg_Fp2-T4_kurt_std,0.0,0.0
eeg_Fp2-T4_ptp_mean,0.0,0.0
eeg_Fp2-T4_ptp_std,0.0,0.0
eeg_Fp2-T4_linelen_mean,0.0,0.0
eeg_Fp2-T4_linelen_std,0.0,0.0
eeg_Fp2-C4_mean_mean,0.0,0.0
eeg_Fp2-C4_mean_std,0.0,0.0
eeg_Fp2-T4_var_mean,0.0,0.0
eeg_Fp2-T4_var_std,0.0,0.0
eeg_Fp2-T4_rms_mean,0.0,0.0
eeg_Fp2-T4_rms_std,0.0,0.0
eeg_Fp2-T4_zc_mean,0.0,0.0
eeg_Fp2-T4_zc_std,0.0,0.0
eeg_Fp2-T4_skew_mean,0.0,0.0
eeg_Fp2-T4_skew_std,0.0,0.0
eeg_T3-O1_ptp_mean,0.0,0.0
eeg_T3-O1_ptp_std,0.0,0.0
eeg_T3-O1_linelen_mean,0.0,0.0
eeg_T3-O1_linelen_std,0.0,0.0
eeg_Fp2-T4_mean_mean,0.0,0.0
eeg_Fp2-T4_mean_std,0.0,0.0
eeg_Fp2-T4_std_mean,0.0,0.0
eeg_Fp2-T4_std_std,0.0,0.0
eeg_T3-O1_rms_mean,0.0,0.0
eeg_T3-O1_rms_std,0.0,0.0
eeg_T3-O1_zc_mean,0.0,0.0
eeg_T3-O1_zc_std,0.0,0.0
eeg_T3-O1_skew_mean,0.0,0.0
eeg_T3-O1_skew_std,0.0,0.0
eeg_T3-O1_kurt_mean,0.0,0.0
eeg_T3-O1_kurt_std,0.0,0.0
eeg_T4-O2_zc_mean,0.0,0.0
eeg_T4-O2_zc_std,0.0,0.0
eeg_T4-O2_skew_mean,0.0,0.0
eeg_T4-O2_skew_std,0.0,0.0
eeg_T4-O2_kurt_mean,0.0,0.0
eeg_T4-O2_kurt_std,0.0,0.0
eeg_T4-O2_ptp_mean,0.0,0.0
eeg_T4-O2_ptp_std,0.0,0.0
eeg_T4-O2_mean_mean,0.0,0.0
eeg_T4-O2_mean_std,0.0,0.0
eeg_T4-O2_std_mean,0.0,0.0
eeg_T4-O2_std_std,0.0,0.0
eeg_T4-O2_var_mean,0.0,0.0
eeg_T4-O2_var_std,0.0,0.0
eeg_T4-O2_rms_mean,0.0,0.0
eeg_T4-O2_rms_std,0.0,0.0
eeg_Fp2-C4_skew_mean,0.0,0.0
eeg_Fp2-C4_skew_std,0.0,0.0
eeg_Fp2-C4_kurt_mean,0.0,0.0
eeg_Fp2-C4_kurt_std,0.0,0.0
