feature,mean_abs_shap
eeg_T4-A1_gamma_haut_bp_abs_std,0.0045986849453755994
eeg_Fp2-A1_beta_bp_abs_mean,0.0036421908006959
eeg_Fp1-C3_alpha_bp_abs_mean,0.0034923603091301715
eeg_Fp2-T4_beta_bp_abs_mean,0.0033830870814781006
eeg_Fp1-C3_delta_bp_rel_mean,0.0033676380146396194
eeg_T4-O2_delta_bp_abs_std,0.002709713505215221
eeg_JAMBG_rms_std,0.002675797530180943
eeg_JAMBD_mean_std,0.0025748112014114775
eeg_C3-A1_beta_bp_rel_std,0.0024849034611179512
eeg_EMG1_theta_bp_abs_mean,0.0024686212012242944
eeg_Fp2-T4_peak_freq_mean,0.0024475729300178026
eeg_Fp1-C3_alpha_bp_abs_std,0.0023802493265884504
eeg_JAMBG_var_std,0.0023197922405190116
eeg_T4-A1_theta_bp_rel_mean,0.0022676458396204786
eeg_T4-A1_delta_bp_rel_mean,0.002263296106113209
eeg_Fp1-A1_beta_bp_rel_std,0.0021023021778332567
eeg_Fp1-C3_delta_bp_rel_std,0.0020761010737271072
eeg_RONF_gamma_bas_bp_rel_mean,0.0019983583282639377
eeg_T4-A1_theta_bp_rel_std,0.0019927859492130467
eeg_Fp1-C3_theta_bp_rel_mean,0.0019834514387497572
eeg_T3-A1_peak_freq_std,0.0019568021299087835
eeg_C4-A1_beta_bp_abs_std,0.001950546506755438
eeg_EMG1_delta_bp_abs_std,0.0019283927106525359
eeg_EMG1_delta_bp_abs_mean,0.0018683358283812308
eeg_T4-A1_gamma_bas_bp_abs_std,0.001862176430004618
eeg_C3-A1_delta_bp_rel_std,0.0018115198655529847
eeg_EMG2_gamma_bas_bp_rel_mean,0.0018100839391184875
eeg_JAMBD_zc_mean,0.0017890462025772858
eeg_EOGD_spec_entropy_mean,0.001778803898727704
eeg_T3-A1_delta_bp_rel_mean,0.001774547913535736
eeg_T4-A1_theta_bp_abs_mean,0.001773397786893635
eeg_Fp1-C3_beta_bp_abs_mean,0.0017675781164127298
eeg_T4-A1_spec_centroid_mean,0.0017613880119265453
eeg_RONF_alpha_bp_rel_std,0.0017495220679892454
eeg_JAMBD_ptp_std,0.0017431439709767542
eeg_RONF_delta_bp_abs_mean,0.0017109116008027392
eeg_RONF_alpha_bp_abs_std,0.0016980285744630727
eeg_JAMBD_theta_bp_abs_mean,0.001647037807392844
eeg_T4-A1_beta_bp_rel_std,0.0016406045843684331
eeg_Menton_peak_freq_std,0.0016219517603679652
eeg_T4-O2_zc_std,0.001605319676827664
eeg_Fp1-C3_spec_entropy_mean,0.0015861342738632746
eeg_T4-A1_gamma_bas_bp_rel_mean,0.0015766749353126298
