,PC1,PC2,PC3,PC4
AI_atonia_index,-0.28975073157529924,0.29066876490628163,0.10968609842230415,-0.21110131353935827
episode_count,0.2937231978223978,0.03102838485142815,0.2505604395555514,-0.121149087212174
duration_median,0.17413917710172613,0.07971732530410434,-0.3528340656876046,0.5932637427626604
duration_max,0.24805854604760794,-0.10374858667373724,0.24880404559189623,0.22537550172035595
interval_median,-0.35435708966651164,0.12860681531507873,-0.29129922437363814,0.04060546490762021
interval_variance,-0.35430239748945863,-0.05736250144781775,0.1604733368940194,0.3072058215283494
interval_cv,-0.22866101982052353,-0.1675680794942853,0.43435833530835594,0.25844020928769634
mean_relative_amplitude,0.07368928997208948,0.6348366945293279,0.08548333733750288,0.23005746880059152
max_relative_amplitude,0.13585526684924784,0.5774040465002171,0.24578224765447745,0.14367247601487465
short_density_per_min,0.3491447100168641,0.01351322650854463,0.2315128666498402,-0.3847604041440388
medium_density_per_min,0.2875650775175898,-0.03894145070493935,-0.1373151786030265,0.09972062880280268
long_density_per_min,0.37485409136716674,0.06324818527543725,-0.1001805113337882,-0.006803610345925634
phasic_tonic_ratio,-0.22460054121889683,0.3256100201002925,-0.138929310272469,-0.36468672380313427
progression_index,-0.12282199817756313,-0.03723886179672368,0.5196263402447147,0.10291695266630564
