component,eigenvalue,explained_variance_ratio,cumulative_variance
PC1,4.632264465798376,0.3265224012545848,0.3265224012545848
PC2,2.019326145508634,0.1423397189033342,0.468862120157919
PC3,1.414513375039712,0.09970723978193462,0.5685693599398536
PC4,1.3380884636329786,0.09432014546285096,0.6628895054027045
PC5,0.9306956135651784,0.0656035441892748,0.7284930495919794
PC6,0.8564275801027061,0.06036848543957046,0.7888615350315498
PC7,0.7743672751014266,0.054584159429141924,0.8434456944606917
PC8,0.6455663974007143,0.045505150192719536,0.8889508446534112
PC9,0.47176260447297486,0.03325394298446722,0.9222047876378785
PC10,0.3734991884975334,0.026327480392213356,0.9485322680300918
PC11,0.32792155410030116,0.02311477120067913,0.971647039230771
PC12,0.16621842271307635,0.0117165241574067,0.9833635633881777
PC13,0.12690636957519186,0.008945467780206195,0.9923090311683839
PC14,0.10910921115786129,0.007690968831616164,1.0
