var1,var2,rho
phasic_density_per_min,interval_mean,-0.9969719547188108
pct_any_RSWA,pct_tonic,0.9956254272043745
interval_mean,interval_variance,0.9659532874681392
phasic_density_per_min,interval_variance,-0.9656322624743677
pct_epochs_phasic,phasic_density_per_min,0.9511141490088859
pct_epochs_phasic,interval_mean,-0.9439709089141154
pct_epochs_phasic,interval_variance,-0.9273547505126453
pct_epochs_phasic,long_density_per_min,0.8942993848257005
AI_atonia_index,pct_tonic,-0.889706083390294
phasic_density_per_min,long_density_per_min,0.8892959671907039
pct_epochs_phasic,pct_any_RSWA,0.8869993164730007
interval_mean,long_density_per_min,-0.885706669239209
duration_mean,duration_sd,0.8782014914866226
AI_atonia_index,pct_any_RSWA,-0.8776486671223512
interval_variance,long_density_per_min,-0.8648803827751196
pct_epochs_phasic,pct_tonic,0.8627751196172249
interval_mean,short_density_per_min,-0.8513320507420445
phasic_density_per_min,short_density_per_min,0.850560576722185
interval_mean,interval_median,0.8472337560546782
phasic_density_per_min,interval_median,-0.8376539164069396
pct_any_RSWA,interval_variance,-0.8347505126452495
pct_any_RSWA,phasic_density_per_min,0.8257826384142174
pct_any_RSWA,interval_mean,-0.8227260610312565
mean_relative_amplitude,max_relative_amplitude,0.8176349965823649
interval_variance,short_density_per_min,-0.8152584161515904
pct_tonic,interval_variance,-0.8073820915926179
pct_tonic,phasic_density_per_min,0.8015584415584416
