feature,VIF
pct_tonic,11.748576325318705
duration_sd,6.11870149126572
duration_max,5.737165044752075
mean_relative_amplitude,4.635831052618815
long_density_per_min,4.555632743824242
short_density_per_min,4.5451629187018305
interval_median,3.993836928109862
max_relative_amplitude,3.980570985009337
AI_atonia_index,3.662936882960683
interval_variance,3.556602340214673
interval_cv,3.180090728759348
phasic_tonic_ratio,2.598132882266657
duration_median,2.4084725778610663
medium_density_per_min,2.334972121416682
episode_count,1.9707753619442572
progression_index,1.2223415134213675
