feature,H,p
AI_atonia_index,7.676334997161007,0.05319662393097186
episode_count,5.127071526950237,0.1627253377838909
duration_median,0.48257998370697164,0.9227015032028797
duration_max,10.17658267438921,0.017123242760087247
interval_median,7.302509538593292,0.0628559688157897
interval_variance,2.9090023190465786,0.40586906284578006
interval_cv,0.08680986962815496,0.9933718819149417
mean_relative_amplitude,4.916922664341456,0.1779825366411714
max_relative_amplitude,6.000136604770205,0.11160357916489566
short_density_per_min,1.6612695242316655,0.645578510551039
medium_density_per_min,3.6342826083093454,0.3037591613140007
long_density_per_min,1.9657421040664076,0.5795474180495912
phasic_tonic_ratio,4.192965540772889,0.24136711224657398
progression_index,5.354744482112449,0.14758928920843145
severity_score_mean,2.06215452353527,0.5596070208250006
severity_score_pca,3.416873194079386,0.33170449775527966
