group1,group2,U,p,significant_bonferroni,feature
Narco,AI,27.0,0.3283056812468577,False,AI_atonia_index
Narco,SYN,157.0,0.02522781218865636,False,AI_atonia_index
Narco,iRBD,228.0,0.7607828036166537,False,AI_atonia_index
AI,SYN,95.0,0.10668288233505624,False,AI_atonia_index
AI,iRBD,128.0,0.8108724797607385,False,AI_atonia_index
SYN,iRBD,221.0,0.013566201398272968,False,AI_atonia_index
Narco,AI,61.0,0.04411764705882353,False,episode_count
Narco,SYN,122.0,0.46440055260803204,False,episode_count
Narco,iRBD,275.5,0.15649888826557207,False,episode_count
AI,SYN,39.0,0.12036485253876557,False,episode_count
AI,iRBD,87.0,0.13396766841202662,False,episode_count
SYN,iRBD,405.0,0.5732294182793076,False,episode_count
Narco,AI,44.0,0.4857968471567701,False,duration_median
Narco,SYN,99.0,0.7714190082526055,False,duration_median
Narco,iRBD,209.0,0.8847641708272579,False,duration_median
AI,SYN,57.0,0.5512763638770761,False,duration_median
AI,iRBD,121.5,0.6123999921493004,False,duration_median
SYN,iRBD,378.5,0.8861816310411321,False,duration_median
Narco,AI,55.0,0.02553825631020659,False,duration_max
Narco,SYN,132.0,0.07321132986686933,False,duration_max
Narco,iRBD,319.0,0.005158806838392479,True,duration_max
AI,SYN,56.0,0.477364621841169,False,duration_max
AI,iRBD,154.0,0.5729250965957613,False,duration_max
SYN,iRBD,469.0,0.06829502614226887,False,duration_max
Narco,AI,26.5,0.29487859107992564,False,interval_median
Narco,SYN,146.0,0.07609738842825768,False,interval_median
Narco,iRBD,252.5,0.37912001737590395,False,interval_median
AI,SYN,107.5,0.018607804644434015,False,interval_median
AI,iRBD,195.5,0.07309572923343342,False,interval_median
SYN,iRBD,294.0,0.2068639636631706,False,interval_median
Narco,AI,26.0,0.2854449472096531,False,interval_variance
Narco,SYN,130.0,0.28196673611530265,False,interval_variance
Narco,iRBD,232.0,0.6905337491074165,False,interval_variance
AI,SYN,98.0,0.07259349346305868,False,interval_variance
AI,iRBD,176.0,0.23875995148406307,False,interval_variance
SYN,iRBD,352.0,0.7655398423056133,False,interval_variance
Narco,AI,39.0,0.9999999999999999,False,interval_cv
Narco,SYN,108.0,0.8972710782822758,False,interval_cv
Narco,iRBD,224.0,0.8330627336540016,False,interval_cv
AI,SYN,62.0,0.8213651565825477,False,interval_cv
AI,iRBD,136.0,1.0,False,interval_cv
SYN,iRBD,383.0,0.8424118982735771,False,interval_cv
Narco,AI,52.0,0.24629210658622425,False,mean_relative_amplitude
Narco,SYN,138.0,0.15554845041365106,False,mean_relative_amplitude
Narco,iRBD,234.0,0.6563416134401538,False,mean_relative_amplitude
AI,SYN,66.0,0.9999999999999998,False,mean_relative_amplitude
AI,iRBD,98.0,0.25126973201894903,False,mean_relative_amplitude
SYN,iRBD,256.0,0.05893356379963632,False,mean_relative_amplitude
Narco,AI,60.0,0.05555555555555556,False,max_relative_amplitude
Narco,SYN,144.0,0.09326468797455607,False,max_relative_amplitude
Narco,iRBD,248.0,0.4396157745625686,False,max_relative_amplitude
AI,SYN,52.0,0.42726056552143504,False,max_relative_amplitude
AI,iRBD,78.0,0.07578466606432771,False,max_relative_amplitude
SYN,iRBD,292.0,0.19626689856216362,False,max_relative_amplitude
Narco,AI,47.0,0.4685087141326636,False,short_density_per_min
Narco,SYN,89.0,0.5185727467450045,False,short_density_per_min
Narco,iRBD,192.0,0.6063849677532053,False,short_density_per_min
AI,SYN,46.0,0.24729770614571578,False,short_density_per_min
