feature,group,auc,auc_ci_lower,auc_ci_upper,cutoff,sensitivity,specificity
AI_atonia_index,Narco,0.5314685314685315,0.37872856244949266,0.6856368563685636,0.6990589938472674,1.0,0.3846153846153846
AI_atonia_index,AI,0.4688644688644688,0.2490842490842491,0.6976744186046512,0.8801498127340823,0.7142857142857143,0.6153846153846154
AI_atonia_index,SYN,0.2982456140350877,0.16120676149247576,0.44596562538058704,0.1463414634146341,1.0,0.02564102564102566
episode_count,Narco,0.6421911421911422,0.4376157626157626,0.8300277777777777,190.0,0.45454545454545453,0.8205128205128205
episode_count,AI,0.31868131868131866,0.06768315018315019,0.5934323489010989,inf,0.0,1.0
episode_count,SYN,0.5465587044534412,0.3809090032774244,0.7030301822626068,145.0,0.5263157894736842,0.6666666666666667
duration_median,Narco,0.4871794871794872,0.3875,0.5853745644599303,2.0,1.0,0.17948717948717952
duration_median,AI,0.4450549450549451,0.24979395604395604,0.6707317073170731,1.5,0.8571428571428571,0.17948717948717952
duration_median,SYN,0.5107962213225372,0.37013988522238167,0.6480739391422531,1.5,0.8947368421052632,0.17948717948717952
duration_max,Narco,0.7435897435897436,0.6666666666666666,0.8194444444444444,14.0,1.0,0.4871794871794872
duration_max,AI,0.5641025641025641,0.3480597527472528,0.7585659843205576,13.0,0.8571428571428571,0.33333333333333337
duration_max,SYN,0.6329284750337382,0.49477005313765177,0.751089357958081,13.0,0.8947368421052632,0.33333333333333337
interval_median,Narco,0.5885780885780886,0.3962594696969697,0.7719753289473682,16.0,0.7272727272727273,0.5641025641025641
interval_median,AI,0.7161172161172161,0.47321428571428575,0.9189634146341464,16.0,0.8571428571428571,0.5641025641025641
interval_median,SYN,0.39676113360323884,0.2605246288798921,0.5465762867647058,13.0,0.8421052631578947,0.2564102564102564
interval_variance,Narco,0.5407925407925408,0.3612835673811283,0.7162858893557421,570.5548250420045,0.9090909090909091,0.3589743589743589
interval_variance,AI,0.6446886446886446,0.44040750915750915,0.831556957297089,1324.6011867188486,0.8571428571428571,0.5384615384615384
interval_variance,SYN,0.4750337381916329,0.3214270451770452,0.634310579173903,576.1146485150026,0.7894736842105263,0.3589743589743589
interval_cv,Narco,0.5221445221445221,0.3362933941058941,0.7101748511904756,1.1655350304418712,0.6363636363636364,0.5384615384615384
interval_cv,AI,0.4981684981684982,0.23214285714285715,0.7614024390243905,1.2453522918892248,0.5714285714285714,0.6153846153846154
interval_cv,SYN,0.5168690958164642,0.35263818329607804,0.6805571705426355,0.971894915710062,0.9473684210526315,0.17948717948717952
mean_relative_amplitude,Narco,0.5454545454545454,0.33560606060606063,0.7360050675675675,17.915772157602245,0.2727272727272727,0.8974358974358975
mean_relative_amplitude,AI,0.358974358974359,0.09711805555555557,0.6447604197604199,18.002322808186342,0.14285714285714285,0.8974358974358975
mean_relative_amplitude,SYN,0.34547908232118757,0.18452380952380956,0.511843671679198,40.13383267992319,0.05263157894736842,1.0
max_relative_amplitude,Narco,0.578088578088578,0.3799391945773525,0.7534278455284551,52.40835957072887,1.0,0.17948717948717952
max_relative_amplitude,AI,0.2857142857142857,0.07915021929824562,0.5504499905464171,203.70718478917533,0.14285714285714285,0.8974358974358975
max_relative_amplitude,SYN,0.3940620782726046,0.2316317128817129,0.5697368421052631,280.71160644026395,0.10526315789473684,0.9487179487179487
short_density_per_min,Narco,0.44755244755244755,0.26629954578324144,0.6339327479952479,0.326975476839237,1.0,0.1282051282051282
short_density_per_min,AI,0.38095238095238093,0.087782012195122,0.7054263565891472,1.25,0.2857142857142857,0.8974358974358975
short_density_per_min,SYN,0.524966261808367,0.36439241092778574,0.681593737250102,0.8053691275167785,0.631578947368421,0.5128205128205128
medium_density_per_min,Narco,0.39627039627039623,0.24420279475426535,0.5515201411960131,0.2551928783382789,0.9090909090909091,0.23076923076923073
medium_density_per_min,AI,0.3992673992673993,0.20972206466250712,0.5974172224172224,0.2716049382716049,0.8571428571428571,0.2564102564102564
medium_density_per_min,SYN,0.5560053981106613,0.39689577252612745,0.7069537601626015,0.2816901408450704,0.9473684210526315,0.2564102564102564
long_density_per_min,Narco,0.48717948717948717,0.2828399122807018,0.68421835839599,0.2452316076294277,1.0,0.1282051282051282
long_density_per_min,AI,0.3406593406593406,0.14276785714285714,0.5806325381935139,1.2989690721649485,0.14285714285714285,0.8974358974358975
long_density_per_min,SYN,0.5155195681511471,0.34532649558679307,0.6882591093117408,1.1,0.2631578947368421,0.8974358974358975
phasic_tonic_ratio,Narco,0.44988344988344986,0.2610252339572192,0.6447368421052632,0.4666666666666667,0.36363636363636365,0.717948717948718
phasic_tonic_ratio,AI,0.41758241758241754,0.18048780487804877,0.6814392924149023,0.2333333333333333,1.0,0.15384615384615385
phasic_tonic_ratio,SYN,0.3333333333333333,0.19341008771929824,0.4817911056711546,0.1684210526315789,1.0,0.05128205128205132
progression_index,Narco,0.5069930069930069,0.3327150735294118,0.6850370046620045,0.8478260869565217,0.8181818181818182,0.3589743589743589
progression_index,AI,0.5897435897435898,0.26245535714285717,0.8781326219512195,1.3333333333333333,0.5714285714285714,0.7435897435897436
progression_index,SYN,0.34615384615384615,0.19202736801242234,0.5178614354395604,12.5,0.05263157894736842,1.0
severity_score_mean,Narco,0.49184149184149184,0.30059132205513783,0.6760284090909089,-0.164739236090532,0.9090909090909091,0.23076923076923073
severity_score_mean,AI,0.39194139194139194,0.13178294573643415,0.6666666666666666,-0.4329805302098572,1.0,0.07692307692307687
severity_score_mean,SYN,0.5654520917678811,0.39880952380952384,0.7286821705426357,-0.028429517728331,0.631578947368421,0.5641025641025641
severity_score_pca,Narco,0.5221445221445222,0.34999125874125875,0.6925,-1.3690744966965422,0.9090909090909091,0.3076923076923077
severity_score_pca,AI,0.3516483516483516,0.16115741981595638,0.5604395604395604,-1.644332313399797,0.8571428571428571,0.28205128205128205
severity_score_pca,SYN,0.5573549257759784,0.39898225677830934,0.712566299469604,-0.1471398448326108,0.7894736842105263,0.4871794871794872
